clip_id	clip_path	sentence	clip_created_at	clip_is_valid	sentence_id	sentence_source	client_id	zipcode	canton	user_mean_clip_quality	clip_n_votes_correct	clip_n_votes_false	clip_n_times_reported	sentence_n_times_reported	age	gender	duration	user_sentences
144192	9164bc97-62ef-40fa-bfe6-7e9b931135e9/3351ec28f6da31ce8e41fdd9cbec1db37276983373ee496f3afec87422dc2da2.mp3	Und diese Fans sind treu.	2021-08-29 13:14:03		3351ec28f6da31ce8e41fdd9cbec1db37276983373ee496f3afec87422dc2da2	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	3.564	2113
8624	470b9cf8-13fd-4731-ada6-0241b87a494b/00c815f61a30b1223515a9590f96e349c7bb6366cffc0c629c55872b22a4f555.mp3	Die Amerikaner führen Verstärkung heran.	2021-06-01 16:07:48	False	00c815f61a30b1223515a9590f96e349c7bb6366cffc0c629c55872b22a4f555	cv_sentences	470b9cf8-13fd-4731-ada6-0241b87a494b			0.8095	1	2	0	0			4.248	70
1896	6e862564-0b8e-4ea3-9a50-3ba45f194945/009ff296b31070991141233fde218bf331971eae6ed542f1e2374109b71a55e9.mp3	Der Satz soll von heute 6,8 auf 6,0 Prozent sinken.	2021-05-25 18:31:22		009ff296b31070991141233fde218bf331971eae6ed542f1e2374109b71a55e9	tamedia_sentences	6e862564-0b8e-4ea3-9a50-3ba45f194945			0.75	0	0	0	0			8.208	10
25948	688affb8-3069-447b-a5f5-65c048f0ffc1/099406bb85916240d6bef7bc7972b0d9fecfbccdce98adcbcbcaf753aefb94d3.mp3	Kann man da austreten wollen?	2021-06-26 15:22:26	False	099406bb85916240d6bef7bc7972b0d9fecfbccdce98adcbcbcaf753aefb94d3	tamedia_sentences	688affb8-3069-447b-a5f5-65c048f0ffc1	9425.0	SG	0.7834	0	2	0	0			4.5	100
4295	f5e86716-e7de-474a-b885-2775776af745/00e4645a62b923c775f307e6e442560b3de437828223a2019a19db00e22a92a6.mp3	Zum Weiterkommen war das jedoch zu wenig.	2021-05-26 17:00:30	False	00e4645a62b923c775f307e6e442560b3de437828223a2019a19db00e22a92a6	cv_sentences	f5e86716-e7de-474a-b885-2775776af745	6280.0	LU	0.6931	0	0	0	0	twenties	male	1.044	590
3552	b7c91672-150d-4084-ae5a-a14b6e0365bb/0133a1ac5b11fe47a78f772d8b55a0917d6eee446848f9e18797d4cc981eb239.mp3	Beim Überholen stiess ein Auto mit einem Lastwagen zusammen.	2021-05-26 14:00:21	False	0133a1ac5b11fe47a78f772d8b55a0917d6eee446848f9e18797d4cc981eb239	tamedia_sentences	b7c91672-150d-4084-ae5a-a14b6e0365bb	2503.0	BE	0.0247	0	0	0	0	sixties	female	1.044	480
202	098860e7-ca5e-4a90-9734-ba6fd1b9db68/00309c2e5469b2c7af8de29476b6aa54a721a2e474a80d6f2af58b9682391dc5.mp3	Der ländliche Bereich war durch die Landwirtschaft und den Fremdenverkehr geprägt.	2021-05-04 12:08:02	False	00309c2e5469b2c7af8de29476b6aa54a721a2e474a80d6f2af58b9682391dc5	cv_sentences	098860e7-ca5e-4a90-9734-ba6fd1b9db68			0.0	0	2	0	0			1.008	5
41309	5127caf3-9a0d-41b9-8076-f8223c33ed8b/04fc1b856927fbdcc58002834caa3bb692e4b2d0afce626eaac34272f5fdf878.mp3	Dieser politische Skandal erregte weltweites Aufsehen.	2021-07-14 20:39:33	False	04fc1b856927fbdcc58002834caa3bb692e4b2d0afce626eaac34272f5fdf878	cv_sentences	5127caf3-9a0d-41b9-8076-f8223c33ed8b	8424.0	ZH	0.8125	0	2	0	0			4.608	15
44157	dfab0c89-4155-4631-a9a7-846a56abae71/1044420b6dd5d4e7c8dd9ff2f22bab38ccd7619f121d3cfd067c5302ba889417.mp3	Währenddessen ändert W. immer wieder den Ton der Sirene.	2021-07-15 22:06:44	False	1044420b6dd5d4e7c8dd9ff2f22bab38ccd7619f121d3cfd067c5302ba889417	tamedia_sentences	dfab0c89-4155-4631-a9a7-846a56abae71	3703.0	BE	0.8378	0	3	0	0			9.18	38
42709	35f78195-2b9b-41e8-9006-bf4cabbc67ed/0f579a65568708738955675007b2ef24b59411440c3b0261afe7cbb30c7e3abe.mp3	Und die grosse Mehrheit findet relativ problemlos in den nächsten Abschnitt.	2021-07-15 14:29:36		0f579a65568708738955675007b2ef24b59411440c3b0261afe7cbb30c7e3abe	tamedia_sentences	35f78195-2b9b-41e8-9006-bf4cabbc67ed	4600.0	SO	0.4583	0	0	0	0			6.192	20
50820	94f7c9f8-32e5-4dfc-88f5-112759ac4856/129a4f918a333a28bba9e943772953b7a45e906a8e74223327f8c9627459e781.mp3	Sie sei immer lustig gewesen und habe schnell gelernt.	2021-07-18 08:52:23	False	129a4f918a333a28bba9e943772953b7a45e906a8e74223327f8c9627459e781	tamedia_sentences	94f7c9f8-32e5-4dfc-88f5-112759ac4856			0.75	1	2	0	0			5.436	5
102547	9164bc97-62ef-40fa-bfe6-7e9b931135e9/2495dc86ef383e90b1cf7f33f1faad5d72feeda37685ec904beb2ab68c757f0b.mp3	Die Zweijährige aus Honduras weint.	2021-08-17 13:47:16		2495dc86ef383e90b1cf7f33f1faad5d72feeda37685ec904beb2ab68c757f0b	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	5.472	2113
53276	25df4c20-ca98-40cc-bc2a-bafe66ee4d89/0563f9244821392ffc9039e449186afdeb81898a1c8db02bc81000b15b8c8199.mp3	Er bezieht sich dann jedoch nur noch auf die Grundschule.	2021-07-19 21:40:27	False	0563f9244821392ffc9039e449186afdeb81898a1c8db02bc81000b15b8c8199	cv_sentences	25df4c20-ca98-40cc-bc2a-bafe66ee4d89	8820.0	ZH	0.867	0	2	0	0	thirties	male	3.456	2704
102621	9164bc97-62ef-40fa-bfe6-7e9b931135e9/2479ecdadc98f883b0d26de29172a034d1f7ae48ef6d95a0ab6aa4d48ee9aa41.mp3	Der Klimaschutz soll nicht wegen Corona in Vergessenheit geraten.	2021-08-17 14:02:33		2479ecdadc98f883b0d26de29172a034d1f7ae48ef6d95a0ab6aa4d48ee9aa41	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	5.472	2113
29331	14c4c29b-2e59-4c3c-bb9e-fb273e7a68c4/0ab841ae33ea4df96db897bbaae7dfde3e3407e435ab7d298739c30b6d542c01.mp3	Dafür hätten sich den 50 Demokraten 17 Republikaner anschliessen müssen.	2021-07-10 13:04:17	False	0ab841ae33ea4df96db897bbaae7dfde3e3407e435ab7d298739c30b6d542c01	tamedia_sentences	14c4c29b-2e59-4c3c-bb9e-fb273e7a68c4			0.0	0	2	0	0			0.288	15
9649	d4d21d51-b937-4979-b285-d36102e12a89/03974cfad26426ed7a93342dfde2d146704b54834b18aff85ab9e20ccd6d0263.mp3	Das wird Santos auch gegen Frankreich tun.	2021-06-02 12:52:54	False	03974cfad26426ed7a93342dfde2d146704b54834b18aff85ab9e20ccd6d0263	tamedia_sentences	d4d21d51-b937-4979-b285-d36102e12a89			0.3704	1	2	0	0			4.896	10
8835	138091f6-c468-4912-b6e0-868c0e211721/012c09e4578e8352b6ba09f38c4a8ee1e8d384b6217bac9d9a081fa6d1247e7c.mp3	Durch den Zweiten Weltkrieg erlitt die Bahn erhebliche Beschädigungen.	2021-06-01 18:55:07	False	012c09e4578e8352b6ba09f38c4a8ee1e8d384b6217bac9d9a081fa6d1247e7c	cv_sentences	138091f6-c468-4912-b6e0-868c0e211721			0.0	0	2	0	0			0.288	20
141532	9164bc97-62ef-40fa-bfe6-7e9b931135e9/31e620b38ca7f47fff2a673c081aa5e9de5a339c0983fdfed6df5febc1a71939.mp3	Lausanne verliert aber 1:2 und muss weiter bangen.	2021-08-27 17:48:51		31e620b38ca7f47fff2a673c081aa5e9de5a339c0983fdfed6df5febc1a71939	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	5.508	2113
1473	7eb19e16-bab0-4e8d-8039-b15c29290703/002b006516d4173fe80f6c67f1054cc6329400bd94d658f75a8c0e027a497f45.mp3	Eiweiss oder deren Bestandteile haben eine wichtige Funktion in unserem Körper.	2021-05-25 17:38:31	False	002b006516d4173fe80f6c67f1054cc6329400bd94d658f75a8c0e027a497f45	tamedia_sentences	7eb19e16-bab0-4e8d-8039-b15c29290703			0.75	1	2	0	0			7.056	12
16765	3322cdfb-2357-4799-858b-42913f8807ce/01c0ff4b7af160f5144e20c82cb191c472c377b5101976769c1d72f0124e933c.mp3	Sie studierte und lehrte moderne Literatur.	2021-06-11 07:51:19	False	01c0ff4b7af160f5144e20c82cb191c472c377b5101976769c1d72f0124e933c	cv_sentences	3322cdfb-2357-4799-858b-42913f8807ce			0.0435	0	2	0	0			2.556	11
227	7b1e4ac5-b90a-466f-aeb7-3857a1ae74a8/00219525bc40eefe8a998d198351375dba95d5996eb3ce754286d2e56a156ad9.mp3	Je nach Standort werde das eher Premium oder Luxus bedeuten.	2021-05-04 12:08:36	False	00219525bc40eefe8a998d198351375dba95d5996eb3ce754286d2e56a156ad9	tamedia_sentences	7b1e4ac5-b90a-466f-aeb7-3857a1ae74a8			0.7813	1	2	0	0			5.328	15
42522	c003ab56-5dfe-4178-a2da-94f420e8438b/0fb4be69c23b39b56b410b731f7b05a5407495585544e4d3cb719dc32a0cdf77.mp3	Vor 20 Jahren seien es noch fast 50 Rappen gewesen.	2021-07-15 13:53:14		0fb4be69c23b39b56b410b731f7b05a5407495585544e4d3cb719dc32a0cdf77	tamedia_sentences	c003ab56-5dfe-4178-a2da-94f420e8438b	8932.0	ZH	0.7692	0	0	0	0			5.4	10
123687	9164bc97-62ef-40fa-bfe6-7e9b931135e9/2c41b223c42d16abc851b89b36a6583c2d7c4642e5a3743f7d15fc83a7bd3a99.mp3	Aber es ist unglaublich lustig.	2021-08-24 12:30:54		2c41b223c42d16abc851b89b36a6583c2d7c4642e5a3743f7d15fc83a7bd3a99	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	3.744	2113
38990	ba1e7ecc-b405-41de-9c68-1f857c67e56b/0e625e7da7228ff338a2a679d2b26e837348ca25b3fd0633fab7d365e327c2dd.mp3	Jetzt äussert sich plötzlich jeder dazu.	2021-07-13 16:03:02	False	0e625e7da7228ff338a2a679d2b26e837348ca25b3fd0633fab7d365e327c2dd	tamedia_sentences	ba1e7ecc-b405-41de-9c68-1f857c67e56b	8400.0	ZH	0.8636	1	2	0	0			5.292	10
26297	240972d6-a85d-4078-995b-4d4af52bd900/094d3e959c6842af5769a1836554d8a7568f39ff1a8e766cccdaade2b40f805c.mp3	Sie stellt ihn zur Rede.	2021-06-28 09:10:35	False	094d3e959c6842af5769a1836554d8a7568f39ff1a8e766cccdaade2b40f805c	tamedia_sentences	240972d6-a85d-4078-995b-4d4af52bd900	8545.0	ZH	0.9196	0	2	0	0	fifties	female	4.14	115
102310	9164bc97-62ef-40fa-bfe6-7e9b931135e9/24562795819d021c4baee3682590ba8994bae6362c8c91ba19439308ea459487.mp3	Er hat sich ja noch nie enttäuscht.	2021-08-17 13:03:55		24562795819d021c4baee3682590ba8994bae6362c8c91ba19439308ea459487	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	3.888	2113
4842	6162b354-f210-4357-8dcf-e0471d4eae14/018949143bb77af115339bb2e31572258c325f78f5c68faa85a26cf7dcfc6d13.mp3	Ein Biker nahe Kapstadt in Südafrika wurde während einer Ausfahrt ausgeraubt.	2021-05-26 21:32:15	False	018949143bb77af115339bb2e31572258c325f78f5c68faa85a26cf7dcfc6d13	tamedia_sentences	6162b354-f210-4357-8dcf-e0471d4eae14	9547.0	TG	0.9444	0	0	0	0	thirties	male	1.044	104
95547	462b0fe5-6d18-46d9-a2f6-ad85e148f830/214b36f67012393cca0d72037a3c71398345c7ac0dd1fa4fed5b4ae37317e723.mp3	Dabei starben in der Region bereits mehr als 100 Menschen.	2021-08-11 14:55:34		214b36f67012393cca0d72037a3c71398345c7ac0dd1fa4fed5b4ae37317e723	tamedia_sentences	462b0fe5-6d18-46d9-a2f6-ad85e148f830	7260.0	GR	0.7241	0	0	0	0	twenties	female	4.896	299
120466	9164bc97-62ef-40fa-bfe6-7e9b931135e9/2aff9494a894afc20bc5a5117dc1163a3139e9e8d93e6d87c9122471b016e8dd.mp3	Sein Ziel sei eine Waffenruhe nach dem Waffenstillstand.	2021-08-23 14:18:04		2aff9494a894afc20bc5a5117dc1163a3139e9e8d93e6d87c9122471b016e8dd	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	6.3	2113
12555	db5c532b-e5c8-4962-9727-ca5f7d41882e/047310e60acd1f7115a778035d957e0d31bbb13abbf4921647db41de53440836.mp3	Die Frau ergriff die Flucht.	2021-06-05 06:01:40	False	047310e60acd1f7115a778035d957e0d31bbb13abbf4921647db41de53440836	tamedia_sentences	db5c532b-e5c8-4962-9727-ca5f7d41882e	8134.0	ZH	0.5625	0	2	0	0	fourties	male	4.032	20
54221	25df4c20-ca98-40cc-bc2a-bafe66ee4d89/13d7fd5fcf93199bfb4795a74b142164dc28594d8c4a09d9ced0f0cd749f355d.mp3	Dafür bezahlte er dem Vater 300 Euro.	2021-07-20 19:46:04	False	13d7fd5fcf93199bfb4795a74b142164dc28594d8c4a09d9ced0f0cd749f355d	tamedia_sentences	25df4c20-ca98-40cc-bc2a-bafe66ee4d89	8820.0	ZH	0.867	0	2	0	0	thirties	male	3.42	2704
43631	db938b6f-fdb6-412f-b528-18c9f2e22329/04d252f404729ab28bd25b5e93c599858440bdf88dbf8d016d65aed02fd0fe0d.mp3	Die Kreisstadt Burg ist etwa gleich weit entfernt.	2021-07-15 19:00:56	False	04d252f404729ab28bd25b5e93c599858440bdf88dbf8d016d65aed02fd0fe0d	cv_sentences	db938b6f-fdb6-412f-b528-18c9f2e22329	4323.0	AG	0.9517	0	2	0	0			5.292	75
47115	1a7552bf-f3a5-41bf-80cb-7641bc0addf6/10e70d4d9250301aba4f168e3e4a0f26caadeceffec6132ab61ab69d4e48d9ea.mp3	Wollen die Schweizer die Jobs nicht?	2021-07-16 20:02:37	False	10e70d4d9250301aba4f168e3e4a0f26caadeceffec6132ab61ab69d4e48d9ea	tamedia_sentences	1a7552bf-f3a5-41bf-80cb-7641bc0addf6	6212.0	LU	0.956	1	2	0	0			3.276	308
29475	b09887c9-1038-4397-8fa6-e8d04a69c31e/0af326f9084ec385e907867851aa761bd115ec0ca5541fb90401502bb7068129.mp3	Das Ziel sei der Abbau sozialer Standards gewesen.	2021-07-10 13:21:03	False	0af326f9084ec385e907867851aa761bd115ec0ca5541fb90401502bb7068129	tamedia_sentences	b09887c9-1038-4397-8fa6-e8d04a69c31e	8442.0	ZH	0.7561	1	2	0	0			4.86	20
102426	9164bc97-62ef-40fa-bfe6-7e9b931135e9/239d0cc2acae09ccfb16e46480ee597e59c5116ac28b845f3c55eff30cd70487.mp3	Seit Anfang Monat werden elf Mitarbeiter ausgebildet.	2021-08-17 13:22:07		239d0cc2acae09ccfb16e46480ee597e59c5116ac28b845f3c55eff30cd70487	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	5.4	2113
99152	9164bc97-62ef-40fa-bfe6-7e9b931135e9/22da1d19d567f4982cb1db6439f4a41e272e6ffd9e84a244abe9665d3884737c.mp3	Doch mit diesem Gutachten bleiben Fragen offen.	2021-08-15 14:19:56		22da1d19d567f4982cb1db6439f4a41e272e6ffd9e84a244abe9665d3884737c	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	4.932	2113
13854	3ffb8a64-b0fe-4425-a96e-6f2be06d2ec9/05331968b93d1c0ec8b355d976b1a785fc23545728f9fd02349c5fb168eba7f3.mp3	Schlussendlich kommt alles aufs Gleiche raus.	2021-06-06 18:51:59	False	05331968b93d1c0ec8b355d976b1a785fc23545728f9fd02349c5fb168eba7f3	tamedia_sentences	3ffb8a64-b0fe-4425-a96e-6f2be06d2ec9			0.6842	0	2	0	0			4.572	16
3818	64fc85c1-5db7-4751-bead-725a6a5aa47c/0157f3d91178914a9360c891c577f934b119e8cb1fd64944971f15e6a6e1cf1c.mp3	Derzeit werden aber nur 175 km ersetzt.	2021-05-26 14:38:33	False	0157f3d91178914a9360c891c577f934b119e8cb1fd64944971f15e6a6e1cf1c	tamedia_sentences	64fc85c1-5db7-4751-bead-725a6a5aa47c				0	0	0	0			1.044	20
37631	5628057b-69cf-4794-8350-46b0368d1f72/0dca76c1739321e160dc5914524e66678656bbbd31e6717225992cb7ccd8a9d1.mp3	Diese führt weg vom wichtigen Thema.	2021-07-12 19:07:04	False	0dca76c1739321e160dc5914524e66678656bbbd31e6717225992cb7ccd8a9d1	tamedia_sentences	5628057b-69cf-4794-8350-46b0368d1f72	8500.0	TG	0.8455	1	2	0	0			5.184	119
54209	25df4c20-ca98-40cc-bc2a-bafe66ee4d89/136c211a84ebaceffc6a60e549ec52853e54ba1a120aae5a6f77b45056264681.mp3	Diese will sich zu dem laufenden Verfahren nicht äussern.	2021-07-20 19:44:10	False	136c211a84ebaceffc6a60e549ec52853e54ba1a120aae5a6f77b45056264681	tamedia_sentences	25df4c20-ca98-40cc-bc2a-bafe66ee4d89	8820.0	ZH	0.867	0	2	0	0	thirties	male	3.888	2704
132612	9164bc97-62ef-40fa-bfe6-7e9b931135e9/0ff762181b8335eef2b3f10f4e3602832fb3b83af638710f335e02ce596f3bed.mp3	Die Geschäftsstelle befand sich in Leipzig.	2021-08-26 08:15:47		0ff762181b8335eef2b3f10f4e3602832fb3b83af638710f335e02ce596f3bed	cv_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	4.86	2113
3206	b7c91672-150d-4084-ae5a-a14b6e0365bb/00b988c0f5601ec7d52000dc9480e02e1dc7a19dc8f803a5d4ce2e17461af44c.mp3	Dies mussten jüngst Politiker und andere Prominente am eigenen Leib erfahren.	2021-05-26 12:30:41	False	00b988c0f5601ec7d52000dc9480e02e1dc7a19dc8f803a5d4ce2e17461af44c	tamedia_sentences	b7c91672-150d-4084-ae5a-a14b6e0365bb	2503.0	BE	0.0247	0	0	0	0	sixties	female	1.044	480
15413	2e18b902-ba1b-4918-8d6e-27566e023142/05c0acf52209849c070c77a4eb6fe97652a9186d6757a85aea72119600d55173.mp3	Diese Konkurrenz bekam auch der Löwen zu spüren.	2021-06-08 17:45:26	False	05c0acf52209849c070c77a4eb6fe97652a9186d6757a85aea72119600d55173	tamedia_sentences	2e18b902-ba1b-4918-8d6e-27566e023142			0.5682	0	2	1	0			10.26	20
101305	968be440-4133-4111-abef-b0fb589009ce/241a82ed3d55827ff5c9836eeb4cccd5f004462e2f7c9410b4095d10ae23a068.mp3	Plötzlich kann eine Tür aufgehen.	2021-08-16 19:12:22		241a82ed3d55827ff5c9836eeb4cccd5f004462e2f7c9410b4095d10ae23a068	tamedia_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0			4.824	2113
7188	ca530210-81ae-4bd3-843b-a837c30162ec/00e1759d4d13800623c91512f3315c75f9ba0bf61c2f083a29625812ab0d4eb7.mp3	Dabei erkranken weibliche Tiere doppelt so oft wie männliche.	2021-05-29 14:17:59	False	00e1759d4d13800623c91512f3315c75f9ba0bf61c2f083a29625812ab0d4eb7	cv_sentences	ca530210-81ae-4bd3-843b-a837c30162ec			0.8306	1	2	0	0			5.94	390
102058	9164bc97-62ef-40fa-bfe6-7e9b931135e9/0c4c40358d98d42e402dffe1cd2e8cdcee7eaf4ccebb75425a9add494be67a85.mp3	Nun müssen ihn nur alle Mitgliedstaaten in die Praxis umsetzen.	2021-08-17 09:31:25		0c4c40358d98d42e402dffe1cd2e8cdcee7eaf4ccebb75425a9add494be67a85	cv_sentences	9164bc97-62ef-40fa-bfe6-7e9b931135e9	6416.0	SZ	0.5286	0	0	0	0	sixties	female	7.056	2113
22304	449aaa2c-856e-46b7-9d36-4a4ba25086df/022c8a07c6b5a23404d358b23bbd2a0b14916025b9cc91801761963bb4430ee4.mp3	Was gesagt wurde stimmt.	2021-06-21 11:44:21	False	022c8a07c6b5a23404d358b23bbd2a0b14916025b9cc91801761963bb4430ee4	cv_sentences	449aaa2c-856e-46b7-9d36-4a4ba25086df			0.1667	0	2	0	0			2.916	5
9578	5dc9f3f3-75e1-4c36-859d-68946d3373d0/0391f7fefef34821e368a2f5fd00754b89c119fa1d4d6bcadb3b43dcd98c3351.mp3	Auch den Reifen am Auto bleibt die Luft weg.	2021-06-02 12:19:39	False	0391f7fefef34821e368a2f5fd00754b89c119fa1d4d6bcadb3b43dcd98c3351	tamedia_sentences	5dc9f3f3-75e1-4c36-859d-68946d3373d0	9008.0	SG	0.241	0	2	0	0	twenties	male	0.288	233
1091	8365f206-fedd-4fc0-b9b1-d32d0dabe435/007ebc81b2262399c370538ca79e9f7029372210769a0f1d9a86d450e4d822d8.mp3	Der Pilot und die elf Passagiere erlitten verhältnismässig leichte Verletzungen.	2021-05-25 15:46:27	False	007ebc81b2262399c370538ca79e9f7029372210769a0f1d9a86d450e4d822d8	tamedia_sentences	8365f206-fedd-4fc0-b9b1-d32d0dabe435			0.0	0	2	0	0			1.044	10
1965	158897a2-47a6-4d16-a110-7484887a50cc/002bfee59b17bb3c2af50285f030fdc342b97a1c63d578af97803b36b1db03a0.mp3	Saint-Denis liegt im Norden der Insel direkt am Meer.	2021-05-25 18:42:14	False	002bfee59b17bb3c2af50285f030fdc342b97a1c63d578af97803b36b1db03a0	cv_sentences	158897a2-47a6-4d16-a110-7484887a50cc			0.0	0	0	0	0			1.044	10
4491	99b7ad08-db6b-4220-8af8-f2e11ac1bb44/01481311285d7baa0cb23aa4829197d7c53eca98a274b4e72c387724d4ba6cbf.mp3	Es kam zu ersten gewalttätigen Übergriffen.	2021-05-26 18:26:48	False	01481311285d7baa0cb23aa4829197d7c53eca98a274b4e72c387724d4ba6cbf	tamedia_sentences	99b7ad08-db6b-4220-8af8-f2e11ac1bb44				0	0	0	0			1.044	44
21206	79339193-d674-4a6b-bf09-d236bb1612bd/076be2257ba0786f19630a23d67e3c10b561a496ef6cfee292a4b0e85d8f1a28.mp3	Viele weitere Massnahmen blieben nicht mehr.	2021-06-18 08:14:17	False	076be2257ba0786f19630a23d67e3c10b561a496ef6cfee292a4b0e85d8f1a28	tamedia_sentences	79339193-d674-4a6b-bf09-d236bb1612bd	3422.0	BE	0.7728	1	2	0	0	thirties	male	3.492	170
