sentence	sentence_source	is_praeteritum	wallis_path	wallis_client_id	wallis_dit_transcript	wallis_dat_transcript	zurich_path	zurich_client_id	zurich_dit_transcript	zurich_dat_transcript
Insgesamt sind die Ziele grob formuliert, teilweise wurde dies absichtlich gemacht.	parliament	True	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/109d68027e226c849cdf5450d33bcfd09e0a42ff43628ffc3e54ae40dfcf3a7d.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Insgesamt sind die Ziele grob formuliert, teilweise ist es aber absichtlich gemacht worden.	Insgesamt sind die Ziele grob formuliert, teilweise wurde es aber absichtlich gemacht.	datasets/STT4SG-350 v2.1/clips__test/ce8839ae-3b20-491c-8c33-cef08b4def6e/109d68027e226c849cdf5450d33bcfd09e0a42ff43628ffc3e54ae40dfcf3a7d.mp3	ce8839ae-3b20-491c-8c33-cef08b4def6e	Insgesamt sind diese Ziele grob formuliert, teilweise wurde das absichtlich gemacht.	Insgesamt sind die Ziele grob formuliert, teilweise wurde es aber absichtlich gemacht.
Aber jedes Medikament kann Nebenwirkungen haben.	news_scien	False	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/b42155f9461edae49193ce172c26a80b534435572ea8993005688bbb2ed28c01.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Aber jedes Medikament kann Nebenwirkungen haben.	Aber jedes Medikament kann Nebenwirkungen haben.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/b42155f9461edae49193ce172c26a80b534435572ea8993005688bbb2ed28c01.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Aber jedes Medikament kann Nebenwirkungen haben.	Aber jedes Medikament kann Nebenwirkungen haben.
Man habe zunächst Informationen über die Dimension des Problems sammeln müssen.	news_inter	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/dc099dfba5110f1f5e3ca1f98d0e55e4e76c72b5e9cb84a7d6a2c67be0651a37.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Wir mussten zunächst Informationen über die Dimension des Problems sammeln.	Man habe zuerst Informationen über die Dimension des Problems sammeln müssen.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/dc099dfba5110f1f5e3ca1f98d0e55e4e76c72b5e9cb84a7d6a2c67be0651a37.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Man hätte zuerst Informationen über die Dimension des Problems sammeln müssen.	Wir hätten zuerst Informationen über die Dimensionen des Problems sammeln müssen.
Hunderttausende Italiener können nicht irren.	news_every	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/ba72cc5c0a78c044989efbef69f6ea9e0647ca8a39dcce57f067addc25863703.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Hunderttausende Italiener können nicht ehren.	Hunderttausende Italiener können sich nicht üren.	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/ba72cc5c0a78c044989efbef69f6ea9e0647ca8a39dcce57f067addc25863703.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Hunderttausend Italiener können es sich nicht leisten.	Hunderttausende Italiener können nicht irren.
Oder sie müssen ihre Berufstätigkeit ganz aufgeben.	news_other	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/c4b0ddb7580efe35bbe6ea239019d0db0e1f1d8abec2a997fc7dedd5b2d092e5.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Oder die Ski müssen ihren Sprüfstatik-Hackons aufgeben.	Oder sie müssen ihre Berufstätigkeiten ganz aufgeben.	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/c4b0ddb7580efe35bbe6ea239019d0db0e1f1d8abec2a997fc7dedd5b2d092e5.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Oder sie müssen ihre Berufstätigkeiten ganz aufgeben.	Oder sie müssen ihre Berufstätigkeiten ganz aufgeben.
Im Privatleben läuft es für die Schauspielerin ebenfalls rund.	news_every	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/411f2cca3647533bdf207ef73c676df708cd8e69f419b67e983328c6f55a0ba2.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Im Privatleben läuft es für die Schauspielerin ab und zu rund.	Im Privatleben läuft es für die Schauspielerin ebenfalls rund.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/411f2cca3647533bdf207ef73c676df708cd8e69f419b67e983328c6f55a0ba2.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Im Privatleben läuft es für die Schauspielerin ebenfalls rund.	Im Privatleben läuft es für die Schauspielerin ebenfalls rund.
Auf den Rechnungsabschluss wird eingetreten.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/226c7f4c-0da0-4e94-a873-ad1586107355/48eb30e904be9697bc0eaf4e2f38701b0c6d22503184639aa656f9da644b54a8.mp3	226c7f4c-0da0-4e94-a873-ad1586107355	Auf den Rechnungsabschluss wird eingetreten.	Auf den Rechnungsabschluss wird eintreten.	datasets/STT4SG-350 v2.1/clips__test/ce8839ae-3b20-491c-8c33-cef08b4def6e/48eb30e904be9697bc0eaf4e2f38701b0c6d22503184639aa656f9da644b54a8.mp3	ce8839ae-3b20-491c-8c33-cef08b4def6e	Auf den Rechnungsabschluss wird eingetreten.	Auf den Rechnungsabschluss werde ich eingetreten.
Über ein Fünftel davon geht auf das Konto der jüngsten Produkte.	news_finan	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/e8668c70ad19000bbe92bb072c942ef1f777c0b89e2d3a60b044d7c03cb5bc38.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Über ein Fünftel davon geht auf das Konto der neuesten Produkte.	Über ein Fünftel davon geht auf das Konto der neuen Produkte.	datasets/STT4SG-350 v2.1/clips__test/8b48025a-2cff-4346-9dab-b45cfb683e22/e8668c70ad19000bbe92bb072c942ef1f777c0b89e2d3a60b044d7c03cb5bc38.mp3	8b48025a-2cff-4346-9dab-b45cfb683e22	Über ein Fünftel davon geht auf das Konto der jüngsten Produkte.	Über ein Fünftel davon geht auf das Konto der jüngsten Produkte.
Es steckt jedenfalls etwas von diesem Portugiesen drin.	news_cultu	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/e2649fe99fb7eb171c42e5e0755e5f6bfabcd85eda5645bba00073701781ec50.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Da steckt jedenfalls etwas in Portugiesisch drin.	Es steckt jedenfalls etwas von diesem Portugiesen drin.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/e2649fe99fb7eb171c42e5e0755e5f6bfabcd85eda5645bba00073701781ec50.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Es steckt jedenfalls etwas von dem Portugiesischen drinnen.	Es steckt in jedem Fall etwas von den Portugiesen drin.
Dies obwohl der wissenschaftliche Konsens eindeutig war.	news_scien	True	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/3ac54dad681985d39078792f9b756dae246ddac462f541a9ba382afeee81c993.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Das, obwohl der wissenschaftliche Konsens eindeutig war.	Dies obwohl der wissenschaftliche Konsens eindeutig war.	datasets/STT4SG-350 v2.1/clips__test/ce8839ae-3b20-491c-8c33-cef08b4def6e/3ac54dad681985d39078792f9b756dae246ddac462f541a9ba382afeee81c993.mp3	ce8839ae-3b20-491c-8c33-cef08b4def6e	Das obwohl der wissenschaftliche Konsens eindeutig war.	Dies obwohl der wissenschaftliche Konsens eindeutig war.
Der tödliche Unfall sorgte international für Schlagzeilen.	news_tech	True	datasets/STT4SG-350 v2.1/clips__test/3a231070-4b09-40eb-a319-1f3ed4e61ad9/a8d6a2a533af086272f284296553304a3a5f28eceb0e716de10be3af2c6f3b4e.mp3	3a231070-4b09-40eb-a319-1f3ed4e61ad9	Der tödliche Unfall hat international verschluckt Ziele gesorgt.	Der tödliche Unfall sorgte international für Schlagzeilen.	datasets/STT4SG-350 v2.1/clips__test/8b48025a-2cff-4346-9dab-b45cfb683e22/a8d6a2a533af086272f284296553304a3a5f28eceb0e716de10be3af2c6f3b4e.mp3	8b48025a-2cff-4346-9dab-b45cfb683e22	Der tödliche Unfall hat international für Schlagzeilen gesorgt.	Der tödliche Unfall sorgte international für Schlagzeilen.
Dies hat aber dannzumal aus Angst vor höheren Kosten kein Wohlwollen gefunden.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/0ed130e598c91073054d63d0bb04e670d414150dcfd1dedda1906f347cea7889.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Das fand aber damals unsere Angst vor hoher Käste kein Wohlwollen.	Das fand damals aus Angst vor höheren Kosten aber kein Wohlwollen.	datasets/STT4SG-350 v2.1/clips__test/9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f/0ed130e598c91073054d63d0bb04e670d414150dcfd1dedda1906f347cea7889.mp3	9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f	Das hat aber dazumal, aus Angst vor höheren Kosten, keine Wohlwolle gefunden.	Das fand aber damals aus Angst vor höheren Kosten kein Wohlwollen.
Ich sehe ein Thema und packe an.	news_switz	False	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/6ba66f466c2c778c1c86d481ed8e127ba925ebb0f10248e1512953218c515e89.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Ich sehe ein Thema und backe so.	Ich sehe ein Thema und packe es an.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/6ba66f466c2c778c1c86d481ed8e127ba925ebb0f10248e1512953218c515e89.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Ich sehe ein Thema und passe auf.	Ich sehe ein Thema und popps auch.
Mehr als zwei Millionen Bürger flohen.	news_other	True	datasets/STT4SG-350 v2.1/clips__test/3a231070-4b09-40eb-a319-1f3ed4e61ad9/d55ae1c84fcc82f6a0b07fa165420fd84f424c0da663b16e40c4febc1ac39371.mp3	3a231070-4b09-40eb-a319-1f3ed4e61ad9	Mehr als zwei Millionen Bürger sind geflüchtet.	Mehr als zwei Millionen Bürger flüchteten.	datasets/STT4SG-350 v2.1/clips__test/ba826a45-33f8-47ef-9516-a66a201aac29/d55ae1c84fcc82f6a0b07fa165420fd84f424c0da663b16e40c4febc1ac39371.mp3	ba826a45-33f8-47ef-9516-a66a201aac29	Mehr als zwei Millionen Bürger sind geflüchtet.	Mehr als zwei Millionen Bürger flüchteten.
Rasch hatte er über 90 Sekunden Vorsprung.	news_sport	True	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/51baf89dfa9e0163f899d656380069ef02afe103ea6d45a41beda273645d0b2f.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	RASCH hat auch über 90 Sekunden Vorsprung.	Schnell hatte er über 90 Sekunden Vorsprung.	datasets/STT4SG-350 v2.1/clips__test/e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4/51baf89dfa9e0163f899d656380069ef02afe103ea6d45a41beda273645d0b2f.mp3	e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4	Rasch hatte er über 90 Sekunden Vorsprung.	Schnell hatte er über 90 Sekunden Vorsprung.
Somit schreiten wir zur Abstimmung.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/d518030b-8c9d-43bf-bca5-dad736364203/cef007724138695c788ec5b197db78d8270da0718ab8e561c95f47ad1b6923bc.mp3	d518030b-8c9d-43bf-bca5-dad736364203	Somit schreibt ihr jetzt eure Abstimmung.	Somit schreiten wir zur Abstimmung.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/cef007724138695c788ec5b197db78d8270da0718ab8e561c95f47ad1b6923bc.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Somit schreitet mich zur Abstimmung.	Somit schreiten wir zur Abstimmung.
Die Möglichkeit, einen Rückweisungsantrag zu stellen, ist gegeben.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/dade4d7701d3d766a8059091b8fd43f4de45ba466b538424bbb56eb5730ecb07.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Die Möglichkeit, einen Rückweisungsantrag zu stellen, ist gegeben.	Die Möglichkeit für einen Rückweisungsantrag zu stellen ist gegeben.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/dade4d7701d3d766a8059091b8fd43f4de45ba466b538424bbb56eb5730ecb07.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Die Möglichkeit, einen Rückweisungsantrag zu stellen, ist gegeben.	Die Möglichkeit einen Rückweisungsantrag zu stellen ist gegeben.
Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/3f2710fb87eef194b46821f4267b2316a9c1c5247b259733d4a724e95521d790.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.	Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.	datasets/STT4SG-350 v2.1/clips__test/3e7e3ad6-938d-40fa-9787-2e9f8c529a66/3f2710fb87eef194b46821f4267b2316a9c1c5247b259733d4a724e95521d790.mp3	3e7e3ad6-938d-40fa-9787-2e9f8c529a66	Das ist in Abbetracht der Grösse des Autos hervorragender Wert.	Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.
