path	duration	sentence	sentence_source	client_id	dialect_region	canton	zipcode	age	gender	length	trim_time	clip_is_usable	drop_reason	whisper_large_v2_transcript	is_praeteritum
datasets/STT4SG-350 v2.1/clips__train_valid-001/2be89650-fc8e-429a-a8e3-2e92b3538639/d8e544fa41f14bf2f7f63297a668396f581dacf1d409ec00c21c387d82195149.flac	3.993832199546485	Damals seien vermutlich auch die Glocken gespendet worden.	news	2be89650-fc8e-429a-a8e3-2e92b3538639	Zürich	ZH	8055.0	sixties	female	3474	520	True	 	Dazumal seien vermutlich auch die Glocken gespendet worden.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/e6a8968c-d53c-4f76-80b5-15923136987b/82f1a0a0631a4c5183acae5d3a0b2b0b2930fb99fd65c97aa2a1df6b4a9014d5.flac	5.38702947845805	Der Milliardär selbst erhöhte jedoch den Druck auf die Vermieter.	news	e6a8968c-d53c-4f76-80b5-15923136987b	Zürich	ZH	8001.0	fourties	female	5508	0	True	 	Der Milliardär selber hat jedoch den Druck auf die Vermieter erhöht.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/730828f7f62da5902e592a3a9024717069b21020fe43342bf694b54b5331ca3c.flac	5.631995464852608	Damit werden die Ermittlungen gegen das Unternehmen eingestellt.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	4788	844	True	 	Somit werden die Ermittlungen gegen das Unternehmen eingestellt.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/00fafc97-bf8b-4f35-ae97-b22e83e150f2/4777f75c80d0adf112248da2e52aef83bbca0fae26990a8f9f3e0179b59dbe30.flac	3.993832199546485	Dabei hätte die Regierung einiges zu sagen.	news	00fafc97-bf8b-4f35-ae97-b22e83e150f2	Zürich	ZH	8630.0	fourties	female	3218	776	True	 	Dabei hat die Regierung einiges zu sagen.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/645977dc27afd2d0fd95e86e0d013d0f5e9cf7c40748fee67404f6cb30c80f6b.flac	8.106666666666667	Der nicht biologische Vater besuchte Halter auch schon in seiner Talkshow.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	7453	654	True	 	Den nicht-biologischen Vater besuchte Halter auch schon in seiner Talkshow.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/485dbe58-ff41-4008-a803-520e5244768a/c4ab17975aca13d1acd24011a721534a3c52cdfaf8284ff08c45a44494383168.flac	5.12	Der 33-Jährige muss sich vor der Justiz verantworten.	news	485dbe58-ff41-4008-a803-520e5244768a	Zürich	ZH	8048.0	fourties	male	4668	452	True	 	Der 33-Jährige muss sich vor der Justiz verantworten.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/460a10ef-020f-4559-810a-115a066b9bab/a64b349fb1a2fe26d81d44cb525f1fd76e3c1d2796a4544b60ad03ab62384780.flac	5.376009070294785	Derzeit werden wohl 9 bis 9,5 Millionen Barrel pro Tag gefördert.	news	460a10ef-020f-4559-810a-115a066b9bab	Zürich	ZH	8045.0	thirties	female	5218	158	True	 	Im Moment werden wohl neun bis neuneinhalb Millionen Barrels pro Tag gefördert.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/e4d6b98b-b3f3-4e0f-9954-4abb7de23540/b7dcddb63b3e9eb4f91e999a44aa45c9424e1e37ad0ea351152aead888441afe.flac	6.656009070294784	Ein starkes Erdbeben hat die Westküste von Indonesien erschüttert.	news	e4d6b98b-b3f3-4e0f-9954-4abb7de23540	Zürich	ZH	8050.0	sixties	male	5798	858	True	 	Ein starkes Erdbeben hat die Westküste von Indonesien erschüttert.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/3fc3cf162ec102a4daade7b6528d025278c14bec9fbe5a3b1e8436c0f3d5994c.flac	4.351995464852608	Die Realität hat dem Spiel offensichtlich Pate gestanden.	news	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	4071	281	True	 	Die Realität hat im Spiel offensichtlich Party gestanden.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/6427c123-f701-438f-8d2b-e97ced2fc970/983462162a6ff4dfda568a5ccb5d2638c64a654d5200e7ce6d2bb1946b4851e8.flac	4.949342403628118	Und als Regisseur arbeitet er Vollzeit.	news	6427c123-f701-438f-8d2b-e97ced2fc970	Zürich	ZH	8302.0	fifties	male	3730	1219	True	 	Und als Regisseur schafft er Vollzeit.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/934d9ebfef0e77ca36dab92a9cddc6f7a1e62b0d5128bb5c02a9821987747991.flac	4.181337868480726	Möglicherweise hat die Vermisste einen Rucksack bei sich.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	4126	55	True	 	Möglicherweise hat die Vermisste einen Rucksack bei sich.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/c4c03e6f-50a2-4d24-ae88-caf3032798fa/580e00ccfc419936bdaf7cbd1612a07476eb4051968b44d95dd8afba1f75b306.flac	3.925328798185941	Darauf reagiere ich mit einem Schmunzeln.	news	c4c03e6f-50a2-4d24-ae88-caf3032798fa	Zürich	AG	4663.0	fourties	male	3269	656	True	 	Auf das habe ich mit einem Schmunzeln reagiert.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/6858a37b-edd0-4fdf-871c-96d3b1bd3e21/657cf6357cb87416934a7c09c820e1497080beca5a99e260b30949befa99f806.flac	4.778662131519274	Und die fallen dann so richtig heftig aus.	news	6858a37b-edd0-4fdf-871c-96d3b1bd3e21	Zürich	ZH	8704.0	fourties	male	3952	827	True	 	Und die fallen dann so richtig heftig aus.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/300bb931-79ae-40ec-b989-3efd5e83f4c2/5f064ac468c07097fae1c1002ee6efb27a06cf8bf2c2a60663c7a80e2c741d9c.flac	5.717324263038549	Demnach wurde sie von der Klinik jedoch abgelehnt.	news	300bb931-79ae-40ec-b989-3efd5e83f4c2	Zürich	ZH	8408.0	fourties	male	4993	724	True	 	Demnach wurde sie jedoch von der Klinik abgelehnt.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/6427c123-f701-438f-8d2b-e97ced2fc970/892a2e00a888e743fdaf8abe4add9cf2c5c28111049a69d302905f137e2a30c9.flac	5.631995464852608	Die Schweiz wäre gemäss diesem System ein einziger Wahlkreis.	news	6427c123-f701-438f-8d2b-e97ced2fc970	Zürich	ZH	8302.0	fifties	male	4771	861	True	 	Die Schweiz wäre gemäss diesem System ein einziger Wahlkreis.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/c4c03e6f-50a2-4d24-ae88-caf3032798fa/a2a4832f7e5c2fba60ad6ea8339a69340d107e389d1fd59e480e52e5fdf463aa.flac	5.631995464852608	Zu richtiger Hockey-Folklore gehört ein gutes Rahmenprogramm.	news	c4c03e6f-50a2-4d24-ae88-caf3032798fa	Zürich	AG	4663.0	fourties	male	5368	264	True	 	Zur richtigen Hockey-Folklore gehört ein gutes Rahmenprogramm.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/7f09edc629badb192c05bbd31f832bffeacbb455d584e6253e01c934c7c3f0cb.flac	6.143990929705216	Der Mann zwang das Opfer zur Herausgabe von mehreren Tausend Franken.	news	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	5761	383	True	 	Der Mann hat das Opfer zur Ausgabe von mehreren tausend Franken gezwungen.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/70a5c408-15e7-4c4d-b1f1-eef3d343939e/7112038514953895b68b8908c7ba5a75c5a3e23ed4459086f87769de52fcd4dd.flac	3.754671201814059	Die meisten blieben allerdings beim Bahnhof.	news	70a5c408-15e7-4c4d-b1f1-eef3d343939e	Zürich	ZH	8406.0	fourties	male	3610	145	True	 	Die meisten blieben allerdings im Bahnhof.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/ce2ff23d19f7f23e85a18cd61a22d16c289d39426b921e601e722d39c06e82e8.flac	5.717324263038549	Dann würden sie diese erschreckende Botschaft allenfalls auch einzuordnen wissen.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	6204	0	True	 	dann würden sie die erschreckende Botschaft allenfalls auch einordnen zu wissen.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/0d7bacea-1a75-4c14-b580-40d5b98663b6/d211e4c1686032689240379ca72c46216173fe18086f025f4dfbb84b85dc23c7.flac	5.546666666666667	Wieso waren nur zweieinhalb Stellen für die Beschaffung im Einsatz?	news	0d7bacea-1a75-4c14-b580-40d5b98663b6	Zürich	ZH	8049.0	teens	male	4566	981	True	 	Wieso waren nur zweieinhalb Stellen für die Beschaffung im Einsatz?	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/00fafc97-bf8b-4f35-ae97-b22e83e150f2/b05766946e400c1cdcd82f5b9f8ac7e630444f13a98be3ee27fe99d229ea3665.flac	6.03718820861678	Ich habe mir bereits hübsche kleine Haken im Internet angeschaut.	news	00fafc97-bf8b-4f35-ae97-b22e83e150f2	Zürich	ZH	8630.0	fourties	female	4685	1352	True	 	Ich habe mir bereits hübsche kleine Haken im Internet angeschaut.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/628a38824f8f2266537c42e9657da0fde5e356204e00ae19d4cd96d7676195f5.flac	5.802675736961452	In jüngster Zeit gehen die Beobachtungen allerdings stark zurück.	news	3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a	Zürich	ZH	8000.0	fifties	female	5406	397	True	 	In letzter Zeit gehen die Beobachtungen allerdings stark zurück.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd/941f1aa914a74193ae8ec28dfc4c91194e7304e92c7f3334d5a1a85e5c9ef4ea.flac	7.082675736961451	Dazu brauchen die Propeller eingebaute Akkus und müssen regelmässig aufgeladen werden.	news	0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd	Zürich	AG	5621.0	twenties	female	6648	435	True	 	Dafür brauchen die Propeller eingebaute Akkus und müssen regelmässig aufgeladen werden.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/485dbe58-ff41-4008-a803-520e5244768a/9c5a2b4034d2c527ab5f1b9bc0c894104846848b2a35b4a53cf5691ce23462d4.flac	5.034671201814059	Die USA importieren deutlich mehr als sie exportieren.	news	485dbe58-ff41-4008-a803-520e5244768a	Zürich	ZH	8048.0	fourties	male	4737	298	True	 	Die USA importieren deutlich mehr als sie exportieren.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/b3b65fc5-7333-466c-8941-5f146b5b27c0/7524bfa618f2cc1a537e13d9779753289de0dd944c611cc1dcd2e533adc77814.flac	4.693333333333333	Sie sei sehr verliebt und schaue voller Vorfreude in die Zukunft.	news	b3b65fc5-7333-466c-8941-5f146b5b27c0	Zürich	ZH	8032.0	fifties	female	4484	209	True	 	Sie sei sehr verliebt und schaue voller Vorfreude in die Zukunft.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/00fafc97-bf8b-4f35-ae97-b22e83e150f2/6c24bad53a1e5d8d5bdb6bee39f42b4baa4f8c5c23a1e74b44cc68a8607acc63.flac	6.594467120181406	In Schweden treiben ihn nur zwei der vier Regierungsparteien voran.	news	00fafc97-bf8b-4f35-ae97-b22e83e150f2	Zürich	ZH	8630.0	fourties	female	5368	1226	True	 	In Schweden treiben nur zwei der vier Regierungsparteien voran.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/4697af94-dd63-4d40-8539-14d9c80b313b/622b3627b25dddca1938e9bbfac05fecf07ede645b6f4c1b89f2e48fe9ea2181.flac	5.034671201814059	Unzählige Stunden hat das Plädoyer gedauert.	news	4697af94-dd63-4d40-8539-14d9c80b313b	Zürich	ZH	8172.0	twenties	female	3440	1595	True	 	Unzählige Stunden hat das Plädoyer gedauert.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd/b2f74b664a1c336eba86d5648c9fe2698ece7869b63a2831d3fa99bf89a3e984.flac	5.12	Diese wird ab 21.00 Uhr geöffnet sein.	news	0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd	Zürich	AG	5621.0	twenties	female	4259	861	True	 	Die See wird ab 21 Uhr geöffnet sein.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/c4c03e6f-50a2-4d24-ae88-caf3032798fa/b5571f11dc99aef855c13b4f2a0721c1123e8bd307533822c33d51d04d406f2f.flac	5.717324263038549	Die 30-Jährige entschied sich nach Deutschland zu gehen.	news	c4c03e6f-50a2-4d24-ae88-caf3032798fa	Zürich	AG	4663.0	fourties	male	4498	1219	True	 	Die 30-Jährige hat sich entschieden, nach Deutschland zu gehen.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/68931ace-d879-48a2-b92b-0630ff454bdf/ad38021bd9bcb96aec46d135c3b019d063bd5b280c680dc08c6ef53764d0b6d0.flac	3.328004535147392	Es darf nicht jeder das gleiche machen.	news	68931ace-d879-48a2-b92b-0630ff454bdf	Zürich	ZH	8049.0	fourties	male	2467	861	True	 	Es darf nicht jeder das gleiche machen.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/865f69a7-acb2-4604-a356-cdad6517606c/f4f43c38bbe7b482d85b55bec059ef4fd3c2154d3888c58a74254311c80b8d9d.flac	6.2293424036281175	In der Volksabstimmung wurde die Initiative mit 53 Prozent abgelehnt.	news	865f69a7-acb2-4604-a356-cdad6517606c	Zürich	ZH	8152.0	thirties	male	4976	1253	True	 	In der Volksabstimmung wird diese Initiative mit 53% abgelehnt.	True
datasets/STT4SG-350 v2.1/clips__train_valid-001/68931ace-d879-48a2-b92b-0630ff454bdf/b152689a84cc176a6b7d26799d7d32f5654e0505cf56789442554f4d9088e465.flac	8.191995464852608	Der Gemeinderat hat aber entschieden, dass er die Bevölkerung nicht scheibchenweise sondern anhand eines Gesamtberichtes informieren will.	parliament	68931ace-d879-48a2-b92b-0630ff454bdf	Zürich	ZH	8049.0	fourties	male	7552	640	True	 	Der Gemeinderat hat aber entschieden, dass er die Bevölkerung nicht schiebweise, sondern anhand des Gesamtberichts informieren will.	False
datasets/STT4SG-350 v2.1/clips__train_valid-001/e4d6b98b-b3f3-4e0f-9954-4abb7de23540/802149f7e5139bfd914cee77dbcc2d60d38232bee503c1bda30bd9ad7e4e1cb2.flac	4.863990929705215	Zudem werde ich Ausflüge mit meinem neuen Auto machen.	news	e4d6b98b-b3f3-4e0f-9954-4abb7de23540	Zürich	ZH	8050.0	sixties	male	4498	366	True	 	Zudem werde ich auch Ausflüge mit meinem neuen Auto machen.	False
