path	duration	sentence	sentence_source	client_id	dialect_region	canton	zipcode	age	gender	transcript
datasets/STT4SG-350 v2.1/clips__train_valid-001/0d7bacea-1a75-4c14-b580-40d5b98663b6/d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac	3.754671201814059	Die Welt muss sich dafür interessieren.	news	0d7bacea-1a75-4c14-b580-40d5b98663b6	Zürich	ZH	8049.0	teens	male	Die Welt muss sich dafür interessieren.
datasets/STT4SG-350 v2.1/clips__train_valid-001/0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd/d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac	4.778662131519274	Mit seinem Rücktritt ist eine Neuwahl zwar näher gerückt.	news	0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd	Zürich	AG	5621.0	twenties	female	Mit seinem Rücktritt ist ein Neuwald zwar näher gerückt,
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac	4.778662131519274	Später erlag der Junge im Krankenhaus seiner Verletzung.	news	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	Später ist der Junge im Krankenhaus an seinen Verletzungen erlegen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/460a10ef-020f-4559-810a-115a066b9bab/a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac	10.666666666666666	Es resultiert eine Kreditunterschreitung von Fr. 83'802.45 oder 28,90 %.	parliament	460a10ef-020f-4559-810a-115a066b9bab	Zürich	ZH	8045.0	thirties	female	Es resultiert eine Kreditunterschreitung von 83 802 Franken und 45 Rappen oder 28,9%.
datasets/STT4SG-350 v2.1/clips__train_valid-001/0d7bacea-1a75-4c14-b580-40d5b98663b6/513301266fddc31f262df59ed6752d2806d7fadaa5794fceef5baf8c8813c272.flac	4.608004535147392	Die französische Wirtschaftspolitik sei solide und glaubwürdig.	news	0d7bacea-1a75-4c14-b580-40d5b98663b6	Zürich	ZH	8049.0	teens	male	Die französische Wirtschaftspolitik ist solide und glaubwürdig.
datasets/STT4SG-350 v2.1/clips__train_valid-001/70a5c408-15e7-4c4d-b1f1-eef3d343939e/6d8c803c45f2191727c33a62b32d00e5e2e9cce0bdf139e0091b5494a7d67820.flac	3.669342403628118	Die Enttäuschung des Jungen ist riesig.	news	70a5c408-15e7-4c4d-b1f1-eef3d343939e	Zürich	ZH	8406.0	fourties	male	Die Enttäuschung vom Bub ist riesig.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/3d0177437ab1c8fd14c9fb24556541d7e140adc5bb0306e7587ba37301f4d5e2.flac	4.4373242630385485	Das sei etwa durch gefälschte Rechnungen geschehen.	news	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	Das sei etwa durch die falschen Rechnungen geschehen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/865f69a7-acb2-4604-a356-cdad6517606c/f1f8d4f391741636693d476dc4a1a414178dd50ef3e921976dc1b1bbcc2a3542.flac	4.010657596371882	Es gibt weniger Todesopfer und weniger Schwerverletzte.	news	865f69a7-acb2-4604-a356-cdad6517606c	Zürich	ZH	8152.0	thirties	male	Gibt weniger Todesopfer und weniger schwer verletzte.
datasets/STT4SG-350 v2.1/clips__train_valid-001/3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/b272c7b5ab8911b2f83c168357a4b22abb5ccc6b7fba81448b097a9f6a25f2f4.flac	5.034671201814059	Auch er räumte gewisse Schwierigkeiten im Vorfeld ein.	news	3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a	Zürich	ZH	8000.0	fifties	female	Auch er hat gewisse Schwierigkeiten im Vorfeld eingeräumt.
datasets/STT4SG-350 v2.1/clips__train_valid-001/68931ace-d879-48a2-b92b-0630ff454bdf/ab1159f4cf9c8462e0059f73749abebbb8b8cea3e997c42dd5a9fc5e74840107.flac	3.84	Erhalten geblieben ist das Tier jedoch in Tirol.	news	68931ace-d879-48a2-b92b-0630ff454bdf	Zürich	ZH	8049.0	fourties	male	Erhalte bleiben wir stier, jedoch nicht in Rolle.
datasets/STT4SG-350 v2.1/clips__train_valid-001/7c882fa4-86f6-4986-b211-295a09265deb/c471fae12c81cdcf8436b6b35b2bc0a26e9dac4f2a7e11fe4601adf8d3fe7899.flac	6.570657596371882	TV-Duelle haben bei Frankreichs Präsidentschaftswahlen Tradition.	news	7c882fa4-86f6-4986-b211-295a09265deb	Zürich	AG	5504.0	twenties	female	TV-Duellen haben bei Frankreichs Präsidenten Schaffzwahlen Tradition.
datasets/STT4SG-350 v2.1/clips__train_valid-001/c4c03e6f-50a2-4d24-ae88-caf3032798fa/b47176cf3127320d019ca7590a95df72cb225aa00ce66521ca7d9e1cdf786174.flac	6.656009070294784	Dazu sind wir bereits mit verschiedenen Unternehmen und Stiftungen im Gespräch.	news	c4c03e6f-50a2-4d24-ae88-caf3032798fa	Zürich	AG	4663.0	fourties	male	Dazu sind wir bereits mit verschiedenen Unternehmen und Stiftungen im Gespräch.
datasets/STT4SG-350 v2.1/clips__train_valid-001/0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd/9544a4dfae8b4b9211550a5cd9cfb64ea2e22b4720ed0a33c665abcb4539a4b0.flac	5.631995464852608	Gegen die Schweizer Fahrenden wurde Strafanzeige eingereicht.	news	0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd	Zürich	AG	5621.0	twenties	female	Gegen die Schweizer Fahrenden wurde das Straffahrzeug eingereicht.
datasets/STT4SG-350 v2.1/clips__train_valid-001/6427c123-f701-438f-8d2b-e97ced2fc970/ae5c119e1cb5f7c5ff67a9197cc32fa6bbca6df737b515f7c7a063483a1134f1.flac	6.485328798185941	Ausserdem müsste man die Belohnungen über eine längere Zeit ausweiten.	news	6427c123-f701-438f-8d2b-e97ced2fc970	Zürich	ZH	8302.0	fifties	male	Ausserdem müsste man die Belohnungen über einen längeren Zeitraum ausweiten.
datasets/STT4SG-350 v2.1/clips__train_valid-001/3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/d38f609637ff32e8719afe777f6310ba52b8547728e88d7d76b662d825358092.flac	4.096009070294785	Ich habe mich auch entsprechend geärgert.	news	3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a	Zürich	ZH	8000.0	fifties	female	Ich habe mich auch entsprechend geärgert.
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/cd342908bd64f10b6501ee26c5889d6be4c0b74393baf220974311d1d1573fa9.flac	2.901337868480726	Im ersten Moment war ich echt geschockt.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	Am ersten Mal war ich echt geschockt.
datasets/STT4SG-350 v2.1/clips__train_valid-001/00fafc97-bf8b-4f35-ae97-b22e83e150f2/7056272783e073c9425a27abb11ca32f4bad63012cca25b8fea4aa7c1c5b338c.flac	7.430385487528345	Den Lunch bringt sie ohnehin von zu Hause mit.	news	00fafc97-bf8b-4f35-ae97-b22e83e150f2	Zürich	ZH	8630.0	fourties	female	Der Lunch nimmt sie sowieso von zu Hause mit.
datasets/STT4SG-350 v2.1/clips__train_valid-001/865f69a7-acb2-4604-a356-cdad6517606c/f18727efaf55b34827b922dbe9d39b22ba5e269c20d7c67d6b24eefa226f0953.flac	3.669342403628118	Wer studiert aber auch so etwas!	news	865f69a7-acb2-4604-a356-cdad6517606c	Zürich	ZH	8152.0	thirties	male	dive contra un.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/422e62ca6a6dde3c5090e762faafcdc5952de8f9e28974b457d28aa0d63f9893.flac	3.4133333333333336	GC kann mit diesem Trainer eine schöne Zukunft haben.	news	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	Es geht sicher mit dem Trainer eine schöne Zukunft haben.
datasets/STT4SG-350 v2.1/clips__train_valid-001/865f69a7-acb2-4604-a356-cdad6517606c/f3562efa6e3872b888f02436cd8504551917d022bb30572e8391a248b63d8ed5.flac	2.986666666666667	Auch wenn die Sache schon sehr kurios sei.	news	865f69a7-acb2-4604-a356-cdad6517606c	Zürich	ZH	8152.0	thirties	male	auch wenn es auch schon sehr grün ist.
datasets/STT4SG-350 v2.1/clips__train_valid-001/6858a37b-edd0-4fdf-871c-96d3b1bd3e21/8034e272e94f1971b11d316f3762f88444c6dd6d6d26f14c0b3deb0b408eeb5f.flac	5.205328798185941	In Kürze folgt hier eine kurze Zusammenfassung.	news	6858a37b-edd0-4fdf-871c-96d3b1bd3e21	Zürich	ZH	8704.0	fourties	male	In Kürze folgt hier eine kurze Zusammenfassung.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/5cb15d861642d3e3821414c473bc95f98257b394d31e7e70ae82b90578cbe135.flac	6.314671201814059	Besonders Silvia Steiner schnitt bei den Wahlen besser ab als erwartet.	news	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	Besonders Silvia Steiner hat bei den Wahlen besser abgeschnitten als erwartet.
datasets/STT4SG-350 v2.1/clips__train_valid-001/7c882fa4-86f6-4986-b211-295a09265deb/c3fca4028f1ba31016b48ede16e93af72dff5661c33e92f71f0dcccdd306d692.flac	3.4986621315192745	Nun meldeten sich die Produzenten zurück.	news	7c882fa4-86f6-4986-b211-295a09265deb	Zürich	AG	5504.0	twenties	female	Jetzt meldet sich die Produzentin zurück.
datasets/STT4SG-350 v2.1/clips__train_valid-001/7c882fa4-86f6-4986-b211-295a09265deb/3f52a62e02b2b11fce2aae392f6dcf134999474f38baaa2f0a2b74a13b071da7.flac	6.741337868480725	Damals dachte niemand daran, dass es dereinst als Grundlage für eine Schutzlösung dienen würde.	parliament	7c882fa4-86f6-4986-b211-295a09265deb	Zürich	AG	5504.0	twenties	female	Damals hat niemand daran gedacht, dass es derartig als Grundlage für eine Schutzlösung dienen würde.
datasets/STT4SG-350 v2.1/clips__train_valid-001/e4d6b98b-b3f3-4e0f-9954-4abb7de23540/48b261c362e4d4a839ecb0d004d52f775e737c4a5803c9748d552505f9796674.flac	11.263990929705216	Im Jahr 2021 werden wir dem Einwohnerrat eine Kreditabrechnung vorlegen können und ihn über die tatsächlichen Beträge informieren.	parliament	e4d6b98b-b3f3-4e0f-9954-4abb7de23540	Zürich	ZH	8050.0	sixties	male	Im Jahr 2021 werden wir der Einwohnerrat eine Kreditabrechnung vorlegen und über die tatsächlichen Beträge informieren.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/5beec4e0ac31dc21ed6b49165a62bf0eaf2b81737db454b99eb7eb8bd10ed04d.flac	4.4373242630385485	Nur schon rein finanziell käme das viel teurer zu stehen.	news	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	Nur schon rein finanziell käme das viel teurer zu stehen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/865f69a7-acb2-4604-a356-cdad6517606c/eca464b9fdf425d50724a4c8d5dbd32ffcf812cca13b2bcd8acdc5b0ed6d0403.flac	4.522675736961451	Das teilte die Staatsanwaltschaft Aargau am Mittwoch mit.	news	865f69a7-acb2-4604-a356-cdad6517606c	Zürich	ZH	8152.0	thirties	male	Das teilt die Staatsanwaltschaft Orgau an mitwacht.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/06c61e48b56ba0e9395d9e5e09638059078d51ccdc93d800758cd656f1dbaa5a.flac	7.850657596371882	Aus der Sicht der FDP sollte man haushälterisch mit den Mitteln umgehen und man sollte diese auf das Notwendigste beschränken.	parliament	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	Aus Sicht der FDP sollte man haushalterisch mit den Mitteln umgehen und man sollte sie aufs Notwendigste beschränken.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/12f4a3cc89768471f36261c8a7adc205aa0ebd46d7bbbf58990558334fa3b0d7.flac	7.338662131519274	Bedenklich stimmt uns die sinkende Zahlungsmoral und Zahlungsfähigkeit nicht nur bei den Steuerrechnungen.	parliament	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	Bedenklich stimmt uns die sinkende Zahlungsmoral und Zahlungsunfähigkeit nicht nur bei den Steuerrechnungen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/e4d6b98b-b3f3-4e0f-9954-4abb7de23540/c60631e21c681ae21aa402e174e90555ed0423ec41dd58731b3d83b400f3a09e.flac	5.290657596371882	Die U-Bahn gilt als besonders anfällig für Terroranschläge.	news	e4d6b98b-b3f3-4e0f-9954-4abb7de23540	Zürich	ZH	8050.0	sixties	male	Die U-Bahn gilt als besonders auffällig für Terroranschläge.
datasets/STT4SG-350 v2.1/clips__train_valid-001/00fafc97-bf8b-4f35-ae97-b22e83e150f2/473c0f9bacb48be6960fd204287de34ff766e11b23eb3d7181b173a9cfc3897b.flac	3.715192743764173	Aber das ist doch viel zu teuer.	news	00fafc97-bf8b-4f35-ae97-b22e83e150f2	Zürich	ZH	8630.0	fourties	female	Aber das ist doch viel zu teuer.
datasets/STT4SG-350 v2.1/clips__train_valid-001/e4d6b98b-b3f3-4e0f-9954-4abb7de23540/b86b7083408d68481fd9d0c2d8a3a20f84e7de331c81c1fe4dbfa77a72b5a4a8.flac	3.328004535147392	SO hat die ganze Schweiz beschäftigt.	news	e4d6b98b-b3f3-4e0f-9954-4abb7de23540	Zürich	ZH	8050.0	sixties	male	Solothurn hat die Gage Schweiz beschäftigt.
datasets/STT4SG-350 v2.1/clips__train_valid-001/6e084270-8d26-43d9-ba69-5e8ee793ab8c/eaa6383c98c24ff2fddd977a6aa32560b9592d71ce76e514b1acb35c0cf0e2a1.flac	4.551111111111111	Können Sie die Antwort auf Carlos Frage nachvollziehen?	news	6e084270-8d26-43d9-ba69-5e8ee793ab8c	Zürich	ZG	6340.0	twenties	female	Können Sie die Antworten von Carlos in die Frage nachvollziehen?
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/8951077a9c33e880dc07824de3df9c8206f6301177748a2d6c656a2a2cfa28d1.flac	5.546666666666667	Bei seinem letzten Triumph gab Armstrong gleichzeitig seinen Rücktritt bekannt.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	Bis zum letzten Triumph hat der Armstrong gleichzeitig seinen Rücktritt bekannt gegeben.
datasets/STT4SG-350 v2.1/clips__train_valid-001/6427c123-f701-438f-8d2b-e97ced2fc970/7f91f9b3d568472ae01382a089acf229c16cfc80d6d1a7df83c162f1a8f418b9.flac	4.949342403628118	Dann nimmt das Video eine merkwürdige Wende.	news	6427c123-f701-438f-8d2b-e97ced2fc970	Zürich	ZH	8302.0	fifties	male	Dann hat das Video eine merkwürdige Wende genommen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/460a10ef-020f-4559-810a-115a066b9bab/a6b127eeacf2f018ead0937bfdf81f6e59f0e4dd20c9314f2392b67b596601c8.flac	3.925328798185941	Amerikaner können offenbar über sich selber lachen.	news	460a10ef-020f-4559-810a-115a066b9bab	Zürich	ZH	8045.0	thirties	female	Amerikaner können offenbar über sich selber lachen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/70a5c408-15e7-4c4d-b1f1-eef3d343939e/4217741bb79538ff14decac7c665ffbd37a8c015fe8ef5c484f5c844eb9e6776.flac	5.461337868480726	Merz wollte diese Zahl nicht kommentieren.	news	70a5c408-15e7-4c4d-b1f1-eef3d343939e	Zürich	ZH	8406.0	fourties	male	März hätte die Zahl nicht kommentieren wollen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/2be89650-fc8e-429a-a8e3-2e92b3538639/ab1762ecabecb31e2ac605395e94c965ac94e3bc7aee16b22bb39862e7a93e2f.flac	6.687346938775511	Nach fünf Geräten lagen die beiden dominierenden Nationen praktisch gleich auf.	news	2be89650-fc8e-429a-a8e3-2e92b3538639	Zürich	ZH	8055.0	sixties	female	Nach fünf Geräten sind die beiden nominierenden Nationen praktisch gleich aufgeladen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/6858a37b-edd0-4fdf-871c-96d3b1bd3e21/c2048577d74e270512246bec88c6aa9e03a8a06188b47ff30c1da83af5e6ef3e.flac	4.522675736961451	Kein einziger Punkt von diesem Artikel ist umgesetzt.	news	6858a37b-edd0-4fdf-871c-96d3b1bd3e21	Zürich	ZH	8704.0	fourties	male	Kein einziger Punkt von diesem Artikel ist umgesetzt.
datasets/STT4SG-350 v2.1/clips__train_valid-001/3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/621ad4f818d73214ff90c63fed347eeaeb81f782cac6a96413fa2af5158e977b.flac	7.338662131519274	Einmal schrie ein Passagier wegen mir ‹Polizei!	news	3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a	Zürich	ZH	8000.0	fifties	female	Einmal hat ein Passagier wegen mir die Polizei geschrien.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f877ee50-af2b-423b-bdda-0cc406032c45/4f068967ede1f6263c6a15ad6a9203a620a592388d1578b03c1e22b9a714165c.flac	3.669342403628118	Aber es ist diese spezielle Aura.	news	f877ee50-af2b-423b-bdda-0cc406032c45	Zürich	ZH	8405.0	fourties	female	Aber es ist die spezielle Euro.
datasets/STT4SG-350 v2.1/clips__train_valid-001/3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/7076784f57d55e13a5c2cb68c8f064e375f7ae4bf574f305f2943c05fb15bc5a.flac	9.045328798185942	Demnach sei dieser vom Geschädigten erneut aus heiterem Himmel angegriffen worden.	news	3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a	Zürich	ZH	8000.0	fifties	female	Demnach sei der vom Geschädigten erneut aus heiterem Himmel angegriffen worden.
datasets/STT4SG-350 v2.1/clips__train_valid-001/99c4f9b3-262d-4050-9973-a4abb8046872/b5d157ae6a1144e0be732e60da74ee60a349f478c00990c9b93f970f471ca2ad.flac	4.693333333333333	Phoenix wirkte auf dem roten Teppich wie ein Fremdkörper.	news	99c4f9b3-262d-4050-9973-a4abb8046872	Zürich	ZH	8405.0	twenties	male	Phoenix wirkt auf dem roten Teppich wie ein Fremdkörper.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/0fb832702686ca7afc4d688e4e8c1f1f63bd6cfe2721fb6aaf0f71b1c4afba27.flac	5.888004535147393	Die FDP wird in zwei Jahren das Präsidium der FGPK übernehmen.	parliament	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	Die FDP wird die 2-Jahres-Präsidium der FGPK übernehmen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/2346f20d-b2bc-4712-8c83-5e376731a1c9/714ae35b3a73e2c5834b1336d9597d03e5f66a762b5dcf0911f18ce7681f4857.flac	5.376009070294785	Die US-Finanzkrise hält die Schweizer Börse in Atem.	news	2346f20d-b2bc-4712-8c83-5e376731a1c9	Zürich	ZH	8102.0	fifties	male	Die US-Finanzkrise hält die Schweizer Börse in Atem.
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/91aa76fc79b2fc218867c4b786025489d40afcca0cb06db9d099a626c9d34930.flac	2.986666666666667	Sunrise ist im Mobilfunk gut aufgestellt.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	Sunrise ist im Mobilfunk gut aufgestellt.
datasets/STT4SG-350 v2.1/clips__train_valid-001/f975c67c-35a5-4cac-8195-51f456b59edc/39725a4174bc6284d806afcda51a4e1473b98d26a6285423b15df55355d37073.flac	3.328004535147392	Bei Neuenburg sind es 36 Millionen.	news	f975c67c-35a5-4cac-8195-51f456b59edc	Zürich	ZH	8406.0	thirties	female	Bei Neujenburg sind es 36 Millionen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/70a5c408-15e7-4c4d-b1f1-eef3d343939e/52d3a25de71389deddb3808305669829d13946a4ce28bd30237087256783dae4.flac	4.949342403628118	Für wen transportiert die Post überhaupt Geld?	news	70a5c408-15e7-4c4d-b1f1-eef3d343939e	Zürich	ZH	8406.0	fourties	male	Für wen transportiert Post überhaupt Geld?
datasets/STT4SG-350 v2.1/clips__train_valid-001/6e084270-8d26-43d9-ba69-5e8ee793ab8c/ec022cdd36cd368c863117e287794d0b6fbefe47f4f0a1fd42a1aa936e0f73eb.flac	3.808072562358277	Welche Serie fehlt Ihrer Meinung nach?	news	6e084270-8d26-43d9-ba69-5e8ee793ab8c	Zürich	ZG	6340.0	twenties	female	Melanie, ist dir ein Tellter im Einig pound
datasets/STT4SG-350 v2.1/clips__train_valid-001/c81c27c4-3e50-4b38-827e-2fc2bf899dc7/929b1c90c855684b1e14870db891a59d702c085e6bb51578288bde996b573d1f.flac	3.84	Die Betreiber der Bahn seien auf diese Forderung nicht eingegangen.	news	c81c27c4-3e50-4b38-827e-2fc2bf899dc7	Zürich	ZH	8400.0	twenties	male	Die Betriebe der Bahn sind auf diese Vorordnung nicht eingegangen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/e4d6b98b-b3f3-4e0f-9954-4abb7de23540/ca16859858168da0c2fefa45f49f69aa9b1be8050f8e5ec4e4ec49138a28cd98.flac	5.461337868480726	Er hat freie Bahn und trifft unten rechts ins offene Tor.	news	e4d6b98b-b3f3-4e0f-9954-4abb7de23540	Zürich	ZH	8050.0	sixties	male	Er hat freie Bahn und trifft ohne rechts in das offene Bowl.
datasets/STT4SG-350 v2.1/clips__train_valid-001/111f2e2e-073c-4968-acc6-2af6f58a3fba/44a5366575ff91cd95ae34df1faad8e353e307e0b9a461dac266158f1f5fa152.flac	3.925328798185941	Er liess die Asylbewerber sich gegenseitig fesseln.	news	111f2e2e-073c-4968-acc6-2af6f58a3fba	Zürich	ZH	8620.0	twenties	female	Er hat die Asylbewerber sich gegenseitig fesseln lassen.
datasets/STT4SG-350 v2.1/clips__train_valid-001/44a2712b-f350-40e6-a425-6bda969a5ddc/8dc2ef6abb71a82cbc425b7fdbc313589b011a36f601cf8fca8c63160d8b5682.flac	3.4986621315192745	Die Migros habe damit nichts zu tun.	news	44a2712b-f350-40e6-a425-6bda969a5ddc	Zürich	ZH	8400.0	twenties	male	Der Mikro hat damit nichts zu tun.
datasets/STT4SG-350 v2.1/clips__train_valid-001/4697af94-dd63-4d40-8539-14d9c80b313b/98e775b8efde74e8c88d0d24f5c9cd12961b9a796a0110a2672d2c31f06df06d.flac	4.266666666666667	Er war dafür früher aus seinen Ferien zurückgekommen.	news	4697af94-dd63-4d40-8539-14d9c80b313b	Zürich	ZH	8172.0	twenties	female	Er will das Frühjahr aus seiner Ferien zurückkommen.
