path	sentence	DAT	DIT	word_differences
0d7bacea-1a75-4c14-b580-40d5b98663b6/d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac	Die Welt muss sich dafür interessieren.	Twią sie Prince in der Wolken und während Hessen umschüttet wird auch etwas so machen.	Das Wort muss ich dafür interessieren.	[0]: twią vs das | [1]: sie vs wort | [2]: prince vs muss | [3]: in vs ich | [4]: der vs dafür | [5]: wolken vs interessieren. | Length mismatch: DAT(15) vs DIT(6)
0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd/d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac	Mit seinem Rücktritt ist eine Neuwahl zwar näher gerückt.	Mit siem rücktritt ist ein Neuwalz von nerr zurück.	Mit seinem Rücktritt istissant neu, weil es sich bewir topplos ist.	[1]: siem vs seinem | [3]: ist vs istissant | [4]: ein vs neu, | [5]: neuwalz vs weil | [6]: von vs es | [7]: nerr vs sich | [8]: zurück. vs bewir | Length mismatch: DAT(9) vs DIT(11)
f975c67c-35a5-4cac-8195-51f456b59edc/3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac	Später erlag der Junge im Krankenhaus seiner Verletzung.	Später ist die jungen Krankenhaus als in der Verletzigen herlegen.	Ich bin später, ich bin jung im Krankenhaus als in der Verletzigen Erlage.	[0]: später vs ich | [1]: ist vs bin | [2]: die vs später, | [3]: jungen vs ich | [4]: krankenhaus vs bin | [5]: als vs jung | [6]: in vs im | [7]: der vs krankenhaus | [8]: verletzigen vs als | [9]: herlegen. vs in | Length mismatch: DAT(10) vs DIT(13)
460a10ef-020f-4559-810a-115a066b9bab/a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac	Es resultiert eine Kreditunterschreitung von Fr. 83'802.45 oder 28,90 %.	Also der Dirkündite-Unersliotheens 438202	Es werden der Kräteten under Vide Veronica verdrühlt, anٌ Soundbeおter auf Hö starvekopl<|zh|> in dem jawsaccappel BART.NL-Penik Prüfte der Erengmen�ab sind um sie von 822 andering electrons simulate beim 8.60 % der Minute von 2.00 puhrde von 28.2000	[0]: also vs es | [1]: der vs werden | [2]: dirkündite-unersliotheens vs der | [3]: 438202 vs kräteten | Length mismatch: DAT(4) vs DIT(38)
0d7bacea-1a75-4c14-b580-40d5b98663b6/513301266fddc31f262df59ed6752d2806d7fadaa5794fceef5baf8c8813c272.flac	Die französische Wirtschaftspolitik sei solide und glaubwürdig.	Ich ziehe sie schien Seo hunted und lab き	Transantische w inlandscher Sport Six, selections compression und Tabur ficken.	[0]: ich vs transantische | [1]: ziehe vs w | [2]: sie vs inlandscher | [3]: schien vs sport | [4]: seo vs six, | [5]: hunted vs selections | [6]: und vs compression | [7]: lab vs und | [8]: き vs tabur | Length mismatch: DAT(9) vs DIT(10)
70a5c408-15e7-4c4d-b1f1-eef3d343939e/6d8c803c45f2191727c33a62b32d00e5e2e9cce0bdf139e0091b5494a7d67820.flac	Die Enttäuschung des Jungen ist riesig.	Den Tüschik von Boa Bischariisik	Denn du schiff vom WHOA bischeretsik!	[0]: den vs denn | [1]: tüschik vs du | [2]: von vs schiff | [3]: boa vs vom | [4]: bischariisik vs whoa | Length mismatch: DAT(5) vs DIT(6)
f975c67c-35a5-4cac-8195-51f456b59edc/3d0177437ab1c8fd14c9fb24556541d7e140adc5bb0306e7587ba37301f4d5e2.flac	Das sei etwa durch gefälschte Rechnungen geschehen.	Das geht dadurch gefällt die Rechnung eingeschrieben.	Das seи çaforming sehr schnell ziemlich schlecht.	[1]: geht vs seи | [2]: dadurch vs çaforming | [3]: gefällt vs sehr | [4]: die vs schnell | [5]: rechnung vs ziemlich | [6]: eingeschrieben. vs schlecht.
865f69a7-acb2-4604-a356-cdad6517606c/f1f8d4f391741636693d476dc4a1a414178dd50ef3e921976dc1b1bbcc2a3542.flac	Es gibt weniger Todesopfer und weniger Schwerverletzte.	Für semana habe ich ein gor姑ühren.	Heutesmitt optic zumALY mini-grave glanz	[0]: für vs heutesmitt | [1]: semana vs optic | [2]: habe vs zumaly | [3]: ich vs mini-grave | [4]: ein vs glanz | Length mismatch: DAT(6) vs DIT(5)
3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/b272c7b5ab8911b2f83c168357a4b22abb5ccc6b7fba81448b097a9f6a25f2f4.flac	Auch er räumte gewisse Schwierigkeiten im Vorfeld ein.	Auch er hat glüssige Wirkel im Vorfall die I-Grund.	Aber er hat gewisse Schwierigkeit dem Vorfeld i Grund.	[0]: auch vs aber | [3]: glüssige vs gewisse | [4]: wirkel vs schwierigkeit | [5]: im vs dem | [6]: vorfall vs vorfeld | [7]: die vs i | [8]: i-grund. vs grund.
68931ace-d879-48a2-b92b-0630ff454bdf/ab1159f4cf9c8462e0059f73749abebbb8b8cea3e997c42dd5a9fc5e74840107.flac	Erhalten geblieben ist das Tier jedoch in Tirol.	Erhalte blivirst hier, je doch nicht hier oben.	Erhalte blieb auf Stier, jedoch nicht die Rolle.	[1]: blivirst vs blieb | [2]: hier, vs auf | [3]: je vs stier, | [4]: doch vs jedoch | [6]: hier vs die | [7]: oben. vs rolle.
7c882fa4-86f6-4986-b211-295a09265deb/c471fae12c81cdcf8436b6b35b2bc0a26e9dac4f2a7e11fe4601adf8d3fe7899.flac	TV-Duelle haben bei Frankreichs Präsidentschaftswahlen Tradition.	TVDL haben befranklichs Präsidenten geschafft zwar eine Tradition.	Die F Austria começa in der Zeit, die Welt descansch pulgenden двise	[0]: tvdl vs die | [1]: haben vs f | [2]: befranklichs vs austria | [3]: präsidenten vs começa | [4]: geschafft vs in | [5]: zwar vs der | [6]: eine vs zeit, | [7]: tradition. vs die | Length mismatch: DAT(8) vs DIT(12)
c4c03e6f-50a2-4d24-ae88-caf3032798fa/b47176cf3127320d019ca7590a95df72cb225aa00ce66521ca7d9e1cdf786174.flac	Dazu sind wir bereits mit verschiedenen Unternehmen und Stiftungen im Gespräch.	Dazu sind wir bereit mit verschiedenen Unternehmen und Stiftungen im Gespräch.	Das war immer bereits mit verschiedenen Unternehmer und stiftige Impfspröch.	[0]: dazu vs das | [1]: sind vs war | [2]: wir vs immer | [3]: bereit vs bereits | [6]: unternehmen vs unternehmer | [8]: stiftungen vs stiftige | [9]: im vs impfspröch. | Length mismatch: DAT(11) vs DIT(10)
0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd/9544a4dfae8b4b9211550a5cd9cfb64ea2e22b4720ed0a33c665abcb4539a4b0.flac	Gegen die Schweizer Fahrenden wurde Strafanzeige eingereicht.	Gagt die Schweizer Cas cerebral Freunde? Ist current von goggles und Fle up. Qué Mendels so strangely advisieren zu diesen Fans? Die Sprecher. Die Sprecher sind inicated. Rauspole aus sind und laisse die Ausbe Id vagerteidvate weg, Hell Löshka zu weg kann. Finnish Videospиков. Jane呢, zu infinranceisternd�지, Flü reagiert nochätrig. Entschuld續 im Neutronium? Und nicht nuggr fool?	Guck,', die Schweizer Hoyernden ist Stoff angry und nicht leicht wartet.	[0]: gagt vs guck,', | [3]: cas vs hoyernden | [4]: cerebral vs ist | [5]: freunde? vs stoff | [6]: ist vs angry | [7]: current vs und | [8]: von vs nicht | [9]: goggles vs leicht | [10]: und vs wartet. | Length mismatch: DAT(57) vs DIT(11)
6427c123-f701-438f-8d2b-e97ced2fc970/ae5c119e1cb5f7c5ff67a9197cc32fa6bbca6df737b515f7c7a063483a1134f1.flac	Ausserdem müsste man die Belohnungen über eine längere Zeit ausweiten.	Usse dem müß mit die Ballonige über den längere Tee drum ausreite.	User empfüsst mir die Balonika über den längere Zitrum Useriehe.	[0]: usse vs user | [1]: dem vs empfüsst | [2]: müß vs mir | [3]: mit vs die | [4]: die vs balonika | [5]: ballonige vs über | [6]: über vs den | [7]: den vs längere | [8]: längere vs zitrum | [9]: tee vs useriehe. | Length mismatch: DAT(12) vs DIT(10)
3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/d38f609637ff32e8719afe777f6310ba52b8547728e88d7d76b662d825358092.flac	Ich habe mich auch entsprechend geärgert.	Ich kann mich auch entsprechen und gerne red.	ich komm im Awe hin und sprechen du keiertchen.	[1]: kann vs komm | [2]: mich vs im | [3]: auch vs awe | [4]: entsprechen vs hin | [6]: gerne vs sprechen | [7]: red. vs du | Length mismatch: DAT(8) vs DIT(9)
c81c27c4-3e50-4b38-827e-2fc2bf899dc7/cd342908bd64f10b6501ee26c5889d6be4c0b74393baf220974311d1d1573fa9.flac	Im ersten Moment war ich echt geschockt.	connectiert mechem antrieb nicht erㅈig schock Sir	Wir schon mal müssen wir auch excel!	[0]: connectiert vs wir | [1]: mechem vs schon | [2]: antrieb vs mal | [3]: nicht vs müssen | [4]: erㅈig vs wir | [5]: schock vs auch | [6]: sir vs excel!
00fafc97-bf8b-4f35-ae97-b22e83e150f2/7056272783e073c9425a27abb11ca32f4bad63012cca25b8fea4aa7c1c5b338c.flac	Den Lunch bringt sie ohnehin von zu Hause mit.	Der Lohn schnimmt sie sowieso vor die Heimat.	Da lohnt es nehmt sie sowieso vor die Heimint.	[0]: der vs da | [1]: lohn vs lohnt | [2]: schnimmt vs es | [3]: sie vs nehmt | [4]: sowieso vs sie | [5]: vor vs sowieso | [6]: die vs vor | [7]: heimat. vs die | Length mismatch: DAT(8) vs DIT(9)
865f69a7-acb2-4604-a356-cdad6517606c/f18727efaf55b34827b922dbe9d39b22ba5e269c20d7c67d6b24eefa226f0953.flac	Wer studiert aber auch so etwas!	Vertirtem browse Olympische Shenen!	이쪽erde an Paul, Salvador	[0]: vertirtem vs 이쪽erde | [1]: browse vs an | [2]: olympische vs paul, | [3]: shenen! vs salvador
f975c67c-35a5-4cac-8195-51f456b59edc/422e62ca6a6dde3c5090e762faafcdc5952de8f9e28974b457d28aa0d63f9893.flac	GC kann mit diesem Trainer eine schöne Zukunft haben.	Jetzt kann mit dem Brenner eine schöne Zukunft haben.	Kizedika mit dem die und anderenENEenge Cake fertig ist.	[0]: jetzt vs kizedika | [1]: kann vs mit | [2]: mit vs dem | [3]: dem vs die | [4]: brenner vs und | [5]: eine vs andereneneenge | [6]: schöne vs cake | [7]: zukunft vs fertig | [8]: haben. vs ist.
865f69a7-acb2-4604-a356-cdad6517606c/f3562efa6e3872b888f02436cd8504551917d022bb30572e8391a248b63d8ed5.flac	Auch wenn die Sache schon sehr kurios sei.	aber viele Leute kommen wie sie	Abwandts wahrscheinlich so viel禁 breathelt喜f	[0]: aber vs abwandts | [1]: viele vs wahrscheinlich | [2]: leute vs so | [3]: kommen vs viel禁 | [4]: wie vs breathelt喜f | Length mismatch: DAT(6) vs DIT(5)
6858a37b-edd0-4fdf-871c-96d3b1bd3e21/8034e272e94f1971b11d316f3762f88444c6dd6d6d26f14c0b3deb0b408eeb5f.flac	In Kürze folgt hier eine kurze Zusammenfassung.	In Kürze folgt da eine kurze Zusammenfassung.	In Größi folgt da eine Größi zusammenfassig.	[1]: kürze vs größi | [5]: kurze vs größi | [6]: zusammenfassung. vs zusammenfassig.
f877ee50-af2b-423b-bdda-0cc406032c45/5cb15d861642d3e3821414c473bc95f98257b394d31e7e70ae82b90578cbe135.flac	Besonders Silvia Steiner schnitt bei den Wahlen besser ab als erwartet.	Besonders till wie ein Schneiner hat bei der Wahl besser abgeschnitten als erwartet.	Besonders Ziel wird Steiner, hat wieder Wolle bis er abgeschnitten aus erwartet.	[1]: till vs ziel | [2]: wie vs wird | [3]: ein vs steiner, | [4]: schneiner vs hat | [5]: hat vs wieder | [6]: bei vs wolle | [7]: der vs bis | [8]: wahl vs er | [9]: besser vs abgeschnitten | [10]: abgeschnitten vs aus | [11]: als vs erwartet. | Length mismatch: DAT(13) vs DIT(12)
7c882fa4-86f6-4986-b211-295a09265deb/c3fca4028f1ba31016b48ede16e93af72dff5661c33e92f71f0dcccdd306d692.flac	Nun meldeten sich die Produzenten zurück.	Jetzt machen wir sich die Produzentenz ruck.	Jetzt sind auch 30 enzymes.	[1]: machen vs sind | [2]: wir vs auch | [3]: sich vs 30 | [4]: die vs enzymes. | Length mismatch: DAT(7) vs DIT(5)
7c882fa4-86f6-4986-b211-295a09265deb/3f52a62e02b2b11fce2aae392f6dcf134999474f38baaa2f0a2b74a13b071da7.flac	Damals dachte niemand daran, dass es dereinst als Grundlage für eine Schutzlösung dienen würde.	Damals hat niemand daran gedacht, dass es der Einst als Grundlage für eine Schutzlösung dienen würde.	Da man seit dem Tradeng das Sterenne spricht als Grundlag für recher Z mine.	[0]: damals vs da | [1]: hat vs man | [2]: niemand vs seit | [3]: daran vs dem | [4]: gedacht, vs tradeng | [5]: dass vs das | [6]: es vs sterenne | [7]: der vs spricht | [8]: einst vs als | [9]: als vs grundlag | [10]: grundlage vs für | [11]: für vs recher | [12]: eine vs z | [13]: schutzlösung vs mine. | Length mismatch: DAT(16) vs DIT(14)
e4d6b98b-b3f3-4e0f-9954-4abb7de23540/48b261c362e4d4a839ecb0d004d52f775e737c4a5803c9748d552505f9796674.flac	Im Jahr 2021 werden wir dem Einwohnerrat eine Kreditabrechnung vorlegen können und ihn über die tatsächlichen Beträge informieren.	Im Zuhendepf whirlte die E-Mond the Grandžetit tiefe疫性 vor allem und den Teil zu beträgen.	Im Zwaldова Tečchen Skeptives vert편 implementationen sich die 1.ucherativen schon von W Spotten den Wь� Endision nur II und Suite dazu erleben lassen.	[1]: zuhendepf vs zwaldова | [2]: whirlte vs tečchen | [3]: die vs skeptives | [4]: e-mond vs vert편 | [5]: the vs implementationen | [6]: grandžetit vs sich | [7]: tiefe疫性 vs die | [8]: vor vs 1.ucherativen | [9]: allem vs schon | [10]: und vs von | [11]: den vs w | [12]: teil vs spotten | [13]: zu vs den | [14]: beträgen. vs wь� | Length mismatch: DAT(15) vs DIT(23)
f877ee50-af2b-423b-bdda-0cc406032c45/5beec4e0ac31dc21ed6b49165a62bf0eaf2b81737db454b99eb7eb8bd10ed04d.flac	Nur schon rein finanziell käme das viel teurer zu stehen.	Nur schon ein finanziell, kommt das viel Dürz.	Nur schon rein finanziell, dass viel dürzschte.	[2]: ein vs rein | [4]: kommt vs dass | [5]: das vs viel | [6]: viel vs dürzschte. | Length mismatch: DAT(8) vs DIT(7)
865f69a7-acb2-4604-a356-cdad6517606c/eca464b9fdf425d50724a4c8d5dbd32ffcf812cca13b2bcd8acdc5b0ed6d0403.flac	Das teilte die Staatsanwaltschaft Aargau am Mittwoch mit.	Das Teilt schlats habe auf den Urghavern nicht verhekt.	das Teil des automobilerafts raushaden und Geburtseok	[1]: teilt vs teil | [2]: schlats vs des | [3]: habe vs automobilerafts | [4]: auf vs raushaden | [5]: den vs und | [6]: urghavern vs geburtseok | Length mismatch: DAT(9) vs DIT(7)
f975c67c-35a5-4cac-8195-51f456b59edc/06c61e48b56ba0e9395d9e5e09638059078d51ccdc93d800758cd656f1dbaa5a.flac	Aus der Sicht der FDP sollte man haushälterisch mit den Mitteln umgehen und man sollte diese auf das Notwendigste beschränken.	Aus der Sicht der FDP sollte man ausalterisch mit der Mittel umgehen und muss er aufs Notwendigsten beschränken.	musst du sich von der FDP exemplof gehst, sich einmal etwas mit dem Mittel umgeben und e��泊t der merchant aus några chuء syändes.	[0]: aus vs musst | [1]: der vs du | [2]: sicht vs sich | [3]: der vs von | [4]: fdp vs der | [5]: sollte vs fdp | [6]: man vs exemplof | [7]: ausalterisch vs gehst, | [8]: mit vs sich | [9]: der vs einmal | [10]: mittel vs etwas | [11]: umgehen vs mit | [12]: und vs dem | [13]: muss vs mittel | [14]: er vs umgeben | [15]: aufs vs und | [16]: notwendigsten vs e��泊t | [17]: beschränken. vs der | Length mismatch: DAT(18) vs DIT(23)
f975c67c-35a5-4cac-8195-51f456b59edc/12f4a3cc89768471f36261c8a7adc205aa0ebd46d7bbbf58990558334fa3b0d7.flac	Bedenklich stimmt uns die sinkende Zahlungsmoral und Zahlungsfähigkeit nicht nur bei den Steuerrechnungen.	Denklich schimmte uns die Zalix-Moral und Zalix-Unfähigkeit nicht nur bei den Stürrechnungen.	Stelltehren je nach vielen Seiten, auch incentives mixedes Flight F 400064. setzteständige도	[0]: denklich vs stelltehren | [1]: schimmte vs je | [2]: uns vs nach | [3]: die vs vielen | [4]: zalix-moral vs seiten, | [5]: und vs auch | [6]: zalix-unfähigkeit vs incentives | [7]: nicht vs mixedes | [8]: nur vs flight | [9]: bei vs f | [10]: den vs 400064. | [11]: stürrechnungen. vs setzteständige도
e4d6b98b-b3f3-4e0f-9954-4abb7de23540/c60631e21c681ae21aa402e174e90555ed0423ec41dd58731b3d83b400f3a09e.flac	Die U-Bahn gilt als besonders anfällig für Terroranschläge.	Die Eruban gilt als Besundes auffällig für Teuro ausleicht.	Die Euban gilt als Besumps auf Eilig für Terror auslängt.	[1]: eruban vs euban | [4]: besundes vs besumps | [5]: auffällig vs auf | [6]: für vs eilig | [7]: teuro vs für | [8]: ausleicht. vs terror | Length mismatch: DAT(9) vs DIT(10)
00fafc97-bf8b-4f35-ae97-b22e83e150f2/473c0f9bacb48be6960fd204287de34ff766e11b23eb3d7181b173a9cfc3897b.flac	Aber das ist doch viel zu teuer.	Aber das ist doch fehl zu durch.	Aber das ist doch ein kleines Dür.	[4]: fehl vs ein | [5]: zu vs kleines | [6]: durch. vs dür.
e4d6b98b-b3f3-4e0f-9954-4abb7de23540/b86b7083408d68481fd9d0c2d8a3a20f84e7de331c81c1fe4dbfa77a72b5a4a8.flac	SO hat die ganze Schweiz beschäftigt.	Sollte man die Gottschweite bezeichnigt.	Sollotum und hat die Gag schwit beschäftigt.	[0]: sollte vs sollotum | [1]: man vs und | [2]: die vs hat | [3]: gottschweite vs die | [4]: bezeichnigt. vs gag | Length mismatch: DAT(5) vs DIT(7)
6e084270-8d26-43d9-ba69-5e8ee793ab8c/eaa6383c98c24ff2fddd977a6aa32560b9592d71ce76e514b1acb35c0cf0e2a1.flac	Können Sie die Antwort auf Carlos Frage nachvollziehen?	Hören Sie dir an dorthofem Carlos in die Frau nachvollziehen.	fängt in der Tür ab und alle gehen.	[0]: hören vs fängt | [1]: sie vs in | [2]: dir vs der | [3]: an vs tür | [4]: dorthofem vs ab | [5]: carlos vs und | [6]: in vs alle | [7]: die vs gehen. | Length mismatch: DAT(10) vs DIT(8)
c81c27c4-3e50-4b38-827e-2fc2bf899dc7/8951077a9c33e880dc07824de3df9c8206f6301177748a2d6c656a2a2cfa28d1.flac	Bei seinem letzten Triumph gab Armstrong gleichzeitig seinen Rücktritt bekannt.	Wie im letzten Trim fährt der Armstand gleichzeitig seine Rippetrieppe bekannt.	Mit dem Lesche Tomb hat der Vist pup diarrhea uns ziemlich big boots Elle Citrixien prieverctor immun sympathisiert. Denn dieser Designiert uso uns mit diesem entire Hand über dieses Recy母 eine	[0]: wie vs mit | [1]: im vs dem | [2]: letzten vs lesche | [3]: trim vs tomb | [4]: fährt vs hat | [6]: armstand vs vist | [7]: gleichzeitig vs pup | [8]: seine vs diarrhea | [9]: rippetrieppe vs uns | [10]: bekannt. vs ziemlich | Length mismatch: DAT(11) vs DIT(31)
6427c123-f701-438f-8d2b-e97ced2fc970/7f91f9b3d568472ae01382a089acf229c16cfc80d6d1a7df83c162f1a8f418b9.flac	Dann nimmt das Video eine merkwürdige Wende.	Dann hat das Video ein merkwürdigig Wandel knur.	Dann hat das Video immer Krüte gewandet.	[4]: ein vs immer | [5]: merkwürdigig vs krüte | [6]: wandel vs gewandet. | Length mismatch: DAT(8) vs DIT(7)
460a10ef-020f-4559-810a-115a066b9bab/a6b127eeacf2f018ead0937bfdf81f6e59f0e4dd20c9314f2392b67b596601c8.flac	Amerikaner können offenbar über sich selber lachen.	Amerikaner können offenbar über sich selber lachen.	America kamer ichlarını einfach bez ocup am 그�eng Essen!	[0]: amerikaner vs america | [1]: können vs kamer | [2]: offenbar vs ichlarını | [3]: über vs einfach | [4]: sich vs bez | [5]: selber vs ocup | [6]: lachen. vs am | Length mismatch: DAT(7) vs DIT(9)
70a5c408-15e7-4c4d-b1f1-eef3d343939e/4217741bb79538ff14decac7c665ffbd37a8c015fe8ef5c484f5c844eb9e6776.flac	Merz wollte diese Zahl nicht kommentieren.	März hat die Zahl und will er kommentieren.	Merz hat ihr als Wilder Dokumentieren.	[0]: märz vs merz | [2]: die vs ihr | [3]: zahl vs als | [4]: und vs wilder | [5]: will vs dokumentieren. | Length mismatch: DAT(8) vs DIT(6)
2be89650-fc8e-429a-a8e3-2e92b3538639/ab1762ecabecb31e2ac605395e94c965ac94e3bc7aee16b22bb39862e7a93e2f.flac	Nach fünf Geräten lagen die beiden dominierenden Nationen praktisch gleich auf.	Nach 5 Grad sind die beiden nominate Nationen praktisch gleich aufgelegen.	Nach Wall står der Kränter себя überzeugt, die mit Richmonden am Angsınız ange�nen wurden,	[1]: 5 vs wall | [2]: grad vs står | [3]: sind vs der | [4]: die vs kränter | [5]: beiden vs себя | [6]: nominate vs überzeugt, | [7]: nationen vs die | [8]: praktisch vs mit | [9]: gleich vs richmonden | [10]: aufgelegen. vs am | Length mismatch: DAT(11) vs DIT(14)
6858a37b-edd0-4fdf-871c-96d3b1bd3e21/c2048577d74e270512246bec88c6aa9e03a8a06188b47ff30c1da83af5e6ef3e.flac	Kein einziger Punkt von diesem Artikel ist umgesetzt.	Keine einzigen Punkt von dem Artikel ist umgesetzt.	כ sect,en 3 einziger Punkt, geleutet jetzt richtigал!	[0]: keine vs כ | [1]: einzigen vs sect,en | [2]: punkt vs 3 | [3]: von vs einziger | [4]: dem vs punkt, | [5]: artikel vs geleutet | [6]: ist vs jetzt | [7]: umgesetzt. vs richtigал!
3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/621ad4f818d73214ff90c63fed347eeaeb81f782cac6a96413fa2af5158e977b.flac	Einmal schrie ein Passagier wegen mir ‹Polizei!	Eimal hat ein Posagier-Vagami-Politai geschroue.	Einmal hat ein Posso Schierwag am Meer, Polizei, Kroge.	[0]: eimal vs einmal | [3]: posagier-vagami-politai vs posso | [4]: geschroue. vs schierwag | Length mismatch: DAT(5) vs DIT(9)
f877ee50-af2b-423b-bdda-0cc406032c45/4f068967ede1f6263c6a15ad6a9203a620a592388d1578b03c1e22b9a714165c.flac	Aber es ist diese spezielle Aura.	Aber es ist die spezielle Auro.	Aber es ist die spezielle Eure.	[5]: auro. vs eure.
3ce6b6dc-6c03-48c1-83bd-024bbecfaf9a/7076784f57d55e13a5c2cb68c8f064e375f7ae4bf574f305f2943c05fb15bc5a.flac	Demnach sei dieser vom Geschädigten erneut aus heiterem Himmel angegriffen worden.	Demdann sagte vom Geschädigten erneut aus Heiml-Agriff erfordert.	現在 deuxième Sieg changell das 4 Tage vonósseıkseforeign zu vermogen.	[0]: demdann vs 現在 | [1]: sagte vs deuxième | [2]: vom vs sieg | [3]: geschädigten vs changell | [4]: erneut vs das | [5]: aus vs 4 | [6]: heiml-agriff vs tage | [7]: erfordert. vs vonósseıkseforeign | Length mismatch: DAT(8) vs DIT(10)
