clip_id,src_word_index,target_word_index,is_same_position,position_score,src_word,dat_word,dit_word,dat_lev_sim,dit_lev_sim,dat_combined_weighted,dat_combined_harmonic,dit_combined_weighted,dit_combined_harmonic,dat_advantage,src_len,dat_len,dit_len
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,0,0,0.75,verloren.,Insgesamt,Insgesamt,0.667,0.667,0.542,0.364,0.542,0.364,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,1,0,0.625,verloren.,habe,habe,0.741,0.741,0.631,0.498,0.631,0.498,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,2,0,0.5,verloren.,ich,ich,0.704,0.704,0.643,0.585,0.643,0.585,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,3,0,0.375,verloren.,einige,einige,0.778,0.778,0.732,0.693,0.732,0.693,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,4,0,0.25,verloren.,100.000,hundert,0.704,0.741,0.718,0.726,0.744,0.745,-0.037,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,5,0,0.125,verloren.,Franken,Dusik,0.815,0.704,0.833,0.844,0.755,0.78,0.111,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,6,1,0.0,verloren.,verloren.,vor,1.0,0.815,1.0,1.0,0.87,0.898,0.185,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,7,0,0.125,verloren.,,und,0.704,0.704,0.755,0.78,0.755,0.78,0.0,7,7,9
clips\300bb931-79ae-40ec-b989-3efd5e83f4c2\83ca05c50c05a4d07bf929bd883c8586ac2dca134329c22a8a0909d2ad689bd1.flac,6,8,0,0.25,verloren.,,verloren.,0.704,1.0,0.718,0.726,0.925,0.857,-0.296,7,7,9
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,0,1,0.0,Welche,Wer,Weli,0.852,0.889,0.896,0.92,0.922,0.941,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,1,0,0.1,Welche,ironne,"Rolle,",0.815,0.852,0.841,0.855,0.866,0.875,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,2,0,0.2,Welche,hättet,höchter,0.778,0.815,0.785,0.789,0.81,0.807,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,3,0,0.3,Welche,viele,Uz,0.852,0.778,0.806,0.769,0.755,0.737,0.074,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,4,0,0.4,Welche,bands,stoodhergewerden,0.778,0.481,0.725,0.678,0.517,0.534,0.297,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,5,0,0.5,Welche,auf,von,0.778,0.778,0.695,0.609,0.695,0.609,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,6,0,0.6,Welche,den,Holocast,0.815,0.778,0.69,0.537,0.665,0.528,0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,7,0,0.7,Welche,einzugemparen,in,0.593,0.778,0.505,0.398,0.635,0.433,-0.185,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,8,0,0.8,Welche,Torgeh,Nice,0.778,0.852,0.605,0.318,0.656,0.324,-0.074,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,9,0,0.9,Welche,выб,Ka.,0.778,0.778,0.575,0.177,0.575,0.177,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,0,10,0,1.0,Welche,erklären.,,0.778,0.778,0.545,0.0,0.545,0.0,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,0,0,0.1,Rolle,Wer,Weli,0.815,0.852,0.841,0.855,0.866,0.875,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,1,1,0.0,Rolle,ironne,"Rolle,",0.889,1.0,0.922,0.941,1.0,1.0,-0.111,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,2,0,0.1,Rolle,hättet,höchter,0.815,0.778,0.841,0.855,0.815,0.835,0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,3,0,0.2,Rolle,viele,Uz,0.889,0.815,0.862,0.842,0.81,0.807,0.074,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,4,0,0.3,Rolle,bands,stoodhergewerden,0.815,0.481,0.78,0.753,0.547,0.57,0.334,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,5,0,0.4,Rolle,auf,von,0.815,0.852,0.75,0.691,0.776,0.704,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,6,0,0.5,Rolle,den,Holocast,0.815,0.778,0.72,0.62,0.695,0.609,0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,7,0,0.6,Rolle,einzugemparen,in,0.556,0.815,0.509,0.465,0.69,0.537,-0.259,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,8,0,0.7,Rolle,Torgeh,Nice,0.852,0.852,0.686,0.444,0.686,0.444,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,9,0,0.8,Rolle,выб,Ka.,0.815,0.815,0.63,0.321,0.63,0.321,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,1,10,0,0.9,Rolle,erklären.,,0.815,0.815,0.6,0.178,0.6,0.178,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,0,0,0.2,hatte,Wer,Weli,0.815,0.815,0.81,0.807,0.81,0.807,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,1,0,0.1,hatte,ironne,"Rolle,",0.815,0.852,0.841,0.855,0.866,0.875,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,2,1,0.0,hatte,hättet,höchter,0.926,0.852,0.948,0.962,0.896,0.92,0.074,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,3,0,0.1,hatte,viele,Uz,0.852,0.815,0.866,0.875,0.841,0.855,0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,4,0,0.2,hatte,bands,stoodhergewerden,0.852,0.481,0.836,0.825,0.577,0.601,0.371,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,5,0,0.3,hatte,auf,von,0.852,0.815,0.806,0.769,0.78,0.753,0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,6,0,0.4,hatte,den,Holocast,0.815,0.778,0.75,0.691,0.725,0.678,0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,7,0,0.5,hatte,einzugemparen,in,0.556,0.815,0.539,0.527,0.72,0.62,-0.259,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,8,0,0.6,hatte,Torgeh,Nice,0.815,0.852,0.69,0.537,0.716,0.544,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,9,0,0.7,hatte,выб,Ka.,0.815,0.852,0.66,0.439,0.686,0.444,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,2,10,0,0.8,hatte,erklären.,,0.741,0.815,0.579,0.315,0.63,0.321,-0.074,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,3,0,0,0.3,Rosenberg,Wer,Weli,0.741,0.704,0.729,0.72,0.703,0.702,0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,3,1,0,0.2,Rosenberg,ironne,"Rolle,",0.778,0.778,0.785,0.789,0.785,0.789,0.0,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,3,2,0,0.1,Rosenberg,hättet,höchter,0.704,0.741,0.763,0.79,0.789,0.813,-0.037,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,3,3,1,0.0,Rosenberg,viele,Uz,0.741,0.667,0.819,0.851,0.767,0.8,0.074,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,3,4,0,0.1,Rosenberg,bands,stoodhergewerden,0.704,0.556,0.763,0.79,0.659,0.687,0.148,8,11,10
clips\6e084270-8d26-43d9-ba69-5e8ee793ab8c\dcaae546e037d6b5051e35cac0696e95a9e25b23a7a299cc466d3c796cc11a45.flac,3,5,0,0.2,Rosenberg,auf,von,0.667,0.741,0.707,0.727,0.759,0.769,-0.074,8,11,10
