clip_id,word_index,src_word,dat_at_pos,dit_at_pos,dat_possibility,dit_possibility,dat_advantage,is_discrepancy,src_len,dat_len,dit_len,dat_len_ratio,dit_len_ratio
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,1,ist,ist,ist,1.0,1.0,0.0,0,8,9,9,1.125,1.125
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,2,angesichts,angesichts,angesichts,1.0,1.0,0.0,0,8,9,9,1.125,1.125
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,3,aller,von,vor,0.0,0.0,0.0,0,8,9,9,1.125,1.125
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,4,schlechten,allen,allen,0.0,0.0,0.0,0,8,9,9,1.125,1.125
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,5,Optionen,schlechten,Schlachten,0.0,0.0,0.0,0,8,9,9,1.125,1.125
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,6,die,Optionen,"Optionen,",0.0,0.0,0.0,0,8,9,9,1.125,1.125
clips\6858a37b-edd0-4fdf-871c-96d3b1bd3e21\82f96cf51a7b4d1239325b81c305870fd7e997b57e21c307560debad119e0417.flac,7,beste.,die,die,0.0,0.0,0.0,0,8,9,9,1.125,1.125
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,0,Ebenfalls,Aber,Aber,0.0,0.0,0.0,0,8,9,7,1.125,0.875
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,1,keinen,falls,voll,0.0,0.0,0.0,0,8,9,7,1.125,0.875
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,2,Sieg,kein,ScreenZig,0.0,0.0,0.0,0,8,9,7,1.125,0.875
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,3,durfte,Sieg,hat,0.0,0.0,0.0,0,8,9,7,1.125,0.875
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,4,die,hat,100,0.0,0.0,0.0,0,8,9,7,1.125,0.875
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,5,AC,AC,000,1.0,0.0,1.0,1,8,9,7,1.125,0.875
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,6,Milan,Milan,derumphierig,1.0,0.0,1.0,1,8,9,7,1.125,0.875
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\a217c094093de96414e95c0787e016038210eacf51427d18bdbde8abef26ae5b.flac,7,feiern.,Dörfe,,0.0,0.0,0.0,0,8,9,7,1.125,0.875
clips\f877ee50-af2b-423b-bdda-0cc406032c45\4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac,0,Viele,Viele,Viele,1.0,1.0,0.0,0,7,8,6,1.143,0.857
clips\f877ee50-af2b-423b-bdda-0cc406032c45\4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac,1,Fussballfans,Fußballfans,Fußballfans,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\f877ee50-af2b-423b-bdda-0cc406032c45\4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac,2,haben,handt,hängt,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\f877ee50-af2b-423b-bdda-0cc406032c45\4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac,3,die,die,die,1.0,1.0,0.0,0,7,8,6,1.143,0.857
clips\f877ee50-af2b-423b-bdda-0cc406032c45\4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac,4,Alte,All,Alldri-Taller,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\f877ee50-af2b-423b-bdda-0cc406032c45\4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac,5,Reithalle,3,unterstützt.,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\f877ee50-af2b-423b-bdda-0cc406032c45\4e5d7695cee366d300d25617356c3d900b15e2736550d90b7e7e98728f9d8185.flac,6,unterstützt.,Taller,,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,0,Die,Die,Die,1.0,1.0,0.0,0,8,8,8,1.0,1.0
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,1,riesige,riesige,riesige,1.0,1.0,0.0,0,8,8,8,1.0,1.0
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,2,Insel,Insel,Insel,1.0,1.0,0.0,0,8,8,8,1.0,1.0
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,3,ist,ist,ist,1.0,1.0,0.0,0,8,8,8,1.0,1.0
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,4,von,von,vor,1.0,0.0,1.0,1,8,8,8,1.0,1.0
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,5,enormer,enormer,enormer,1.0,1.0,0.0,0,8,8,8,1.0,1.0
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,6,strategischer,strategischer,strategischer,1.0,1.0,0.0,0,8,8,8,1.0,1.0
clips\2346f20d-b2bc-4712-8c83-5e376731a1c9\9ee49fd908ebb0d5b0a9a67fb858a61419d3ab800f64c9a84e7c8d53130e5469.flac,7,Bedeutung.,Betüttik.,Petutik.,0.0,0.0,0.0,0,8,8,8,1.0,1.0
clips\f877ee50-af2b-423b-bdda-0cc406032c45\00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac,0,Mit,Die,Mit,0.0,1.0,-1.0,1,7,9,9,1.286,1.286
clips\f877ee50-af2b-423b-bdda-0cc406032c45\00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac,1,dem,Lol,dem,0.0,1.0,-1.0,1,7,9,9,1.286,1.286
clips\f877ee50-af2b-423b-bdda-0cc406032c45\00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac,2,Rollator,Serve,Rollato,0.0,0.0,0.0,0,7,9,9,1.286,1.286
clips\f877ee50-af2b-423b-bdda-0cc406032c45\00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac,3,läuft,zulementieren,läuft,0.0,1.0,-1.0,1,7,9,9,1.286,1.286
clips\f877ee50-af2b-423b-bdda-0cc406032c45\00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac,4,man,und,man,0.0,1.0,-1.0,1,7,9,9,1.286,1.286
clips\f877ee50-af2b-423b-bdda-0cc406032c45\00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac,5,nicht,kleinen,jetzt,0.0,0.0,0.0,0,7,9,9,1.286,1.286
clips\f877ee50-af2b-423b-bdda-0cc406032c45\00f63701002cf558863fbc154ffe2ff3f8f122c539db4b39028a0e0b8a8d3925.flac,6,weit.,Altmannen,wie,0.0,0.0,0.0,0,7,9,9,1.286,1.286
clips\f877ee50-af2b-423b-bdda-0cc406032c45\63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac,0,Gemäss,Die,Gemäß,0.0,0.0,0.0,0,6,8,11,1.333,1.833
clips\f877ee50-af2b-423b-bdda-0cc406032c45\63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac,1,jetziger,Kanten,jetzt,0.0,0.0,0.0,0,6,8,11,1.333,1.833
clips\f877ee50-af2b-423b-bdda-0cc406032c45\63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac,2,Kenntnis,des,die,0.0,0.0,0.0,0,6,8,11,1.333,1.833
clips\f877ee50-af2b-423b-bdda-0cc406032c45\63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac,3,wurde,Kanten,Gerät,0.0,0.0,0.0,0,6,8,11,1.333,1.833
clips\f877ee50-af2b-423b-bdda-0cc406032c45\63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac,4,niemand,ist,Kanten,0.0,0.0,0.0,0,6,8,11,1.333,1.833
clips\f877ee50-af2b-423b-bdda-0cc406032c45\63d6d893ce9bdb45890219ae0b5196308848694696613c2b56214288990d487b.flac,5,verletzt.,nicht,"ist,",0.0,0.0,0.0,0,6,8,11,1.333,1.833
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,0,Oder,Oder,Oder,1.0,1.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,1,es,es,es,1.0,1.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,2,wird,wird,wird,1.0,1.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,3,zum,zum,zum,1.0,1.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,4,ersten,ersten,ersten,1.0,1.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,5,Mal,Mal,Mal,1.0,1.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,6,eine,Latina,Latina,0.0,0.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,7,Latina,First,First,0.0,0.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,8,First,Lady.,Lady.,0.0,0.0,0.0,0,10,9,9,0.9,0.9
clips\c4c03e6f-50a2-4d24-ae88-caf3032798fa\698b185f9807065c8bff350a63f90effcb78a4353b7437f3bc7f418ceb6e16d3.flac,9,Lady.,,,0.0,0.0,0.0,0,10,9,9,0.9,0.9
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,0,Vor,Roger,Robert,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,1,allem,"Peltrie,",L,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,2,ältere,S,III.,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,3,Sinn-Fein-Mitglieder,nurses,dieялиaxy,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,4,sind,sind,Pfive,1.0,0.0,1.0,1,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,5,noch,klein,mit,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,6,immer,mit,Resim,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,7,gegen,Kre,hier,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,8,Homo-Ehe,metros.,bei,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,9,und,,עivedriere,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\865f69a7-acb2-4604-a356-cdad6517606c\f69efcd29f4015d440c5923f425edd26bc2ec9d069bc18e187517050965acbbb.flac,10,Abtreibung.,,hier,0.0,0.0,0.0,0,11,9,12,0.818,1.091
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac,0,Die,Man,Das,0.0,0.0,0.0,0,6,16,6,2.667,1.0
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac,1,Welt,muss,Wort,0.0,0.0,0.0,0,6,16,6,2.667,1.0
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac,2,muss,infrastructure,muss,0.0,1.0,-1.0,1,6,16,6,2.667,1.0
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac,3,sich,zu,ich,0.0,0.0,0.0,0,6,16,6,2.667,1.0
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac,4,dafür,Kaiser,dafür,0.0,1.0,-1.0,1,6,16,6,2.667,1.0
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\d6d45bab00c77acd73699745694453c702a0deb1fe70b813d9589a502f18f15a.flac,5,interessieren.,mehr,interessieren.,0.0,1.0,-1.0,1,6,16,6,2.667,1.0
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,0,Mit,Mit,Mit,1.0,1.0,0.0,0,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,1,seinem,siem,seinem,0.0,1.0,-1.0,1,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,2,Rücktritt,rücktritt,Rücktritt,1.0,1.0,0.0,0,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,3,ist,ist,ist,1.0,1.0,0.0,0,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,4,eine,ein,ein,0.0,0.0,0.0,0,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,5,Neuwahl,Neuwalz,neues,0.0,0.0,0.0,0,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,6,zwar,von,Wort,0.0,0.0,0.0,0,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,7,näher,nerr,von,0.0,0.0,0.0,0,9,9,10,1.0,1.111
clips\0f19ca1d-11fe-4822-83e9-4d0f7bcce0cd\d6244607f9ce4a24dcdc2893bf630f6e8904e55f06d9c0cd314fd901a0a21d1a.flac,8,gerückt.,zurück.,Nerd,0.0,0.0,0.0,0,9,9,10,1.0,1.111
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,0,Später,Später,Ich,1.0,0.0,1.0,1,8,10,13,1.25,1.625
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,1,erlag,ist,bin,0.0,0.0,0.0,0,8,10,13,1.25,1.625
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,2,der,die,"später,",0.0,0.0,0.0,0,8,10,13,1.25,1.625
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,3,Junge,jungen,ich,0.0,0.0,0.0,0,8,10,13,1.25,1.625
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,4,im,Krankenhaus,bin,0.0,0.0,0.0,0,8,10,13,1.25,1.625
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,5,Krankenhaus,als,jung,0.0,0.0,0.0,0,8,10,13,1.25,1.625
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,6,seiner,in,im,0.0,0.0,0.0,0,8,10,13,1.25,1.625
clips\f975c67c-35a5-4cac-8195-51f456b59edc\3be27aa4bb7b22a6446e670d5f835ff448e45d0797559c3ad47f9a4939354ca5.flac,7,Verletzung.,der,Krankenhaus,0.0,0.0,0.0,0,8,10,13,1.25,1.625
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,0,Es,Es,Es,1.0,1.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,1,resultiert,달tsa,setzt,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,2,eine,der,dietengredi,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,3,Kreditunterschreitung,Kreditunters,für,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,4,von,Dedekritte,3ad8.200,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,5,Fr.,"85802,",Zw.,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,6,83'802.45,1740,an,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,7,oder,Grapen,gehtones,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,8,"28,90",oder,4,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\460a10ef-020f-4559-810a-115a066b9bab\a8742bb769979775239c74eb26ed311869fb0d051a4889c0c81f1b25e0fff1ac.flac,9,%.,"28,9",am,0.0,0.0,0.0,0,10,11,15,1.1,1.5
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\513301266fddc31f262df59ed6752d2806d7fadaa5794fceef5baf8c8813c272.flac,0,Die,Literally,yty소,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\513301266fddc31f262df59ed6752d2806d7fadaa5794fceef5baf8c8813c272.flac,1,französische,"equalsailing,",제,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\513301266fddc31f262df59ed6752d2806d7fadaa5794fceef5baf8c8813c272.flac,2,Wirtschaftspolitik,solide,KRISTesianmade,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\513301266fddc31f262df59ed6752d2806d7fadaa5794fceef5baf8c8813c272.flac,3,sei,auch,mit,0.0,0.0,0.0,0,7,8,6,1.143,0.857
clips\0d7bacea-1a75-4c14-b580-40d5b98663b6\513301266fddc31f262df59ed6752d2806d7fadaa5794fceef5baf8c8813c272.flac,4,solide,klabberde,der,0.0,0.0,0.0,0,7,8,6,1.143,0.857
