pair	TF-IDF	peak region	count	is_valid
sind → seid	0.01691800810621830	Bern	25/45	True
trauer → traur	0.01689974676066460	Innerschweiz	3/3	True
aus → ausgestrahlt	0.01689974676066460	Innerschweiz	3/3	True
jugendlicher → jugendlichen	0.01689974676066460	Innerschweiz	3/3	True
torhüter → goalies	0.01689974676066460	Innerschweiz	3/3	True
als → unser	0.01689974676066460	Innerschweiz	3/3	True
geworfen → gerührt	0.01689974676066460	Innerschweiz	3/3	True
letzter → letztes	0.01689974676066460	Innerschweiz	3/3	True
prüfungen → prüfung	0.01689974676066460	Innerschweiz	3/3	True
prozent → 89prozent	0.01689974676066460	Innerschweiz	3/3	True
erneut → nichts	0.01689974676066460	Innerschweiz	3/3	True
fangemeinde → ferngemeinde	0.01689974676066460	Innerschweiz	3/3	True
wie → als	0.01689974676066460	Innerschweiz	3/3	True
kätzchen → kätzli	0.01689974676066460	Innerschweiz	3/3	True
sollen → hätten	0.01689974676066460	Innerschweiz	3/3	True
gar → gerne	0.01678907093689120	Graubünden	10/19	True
die → der	0.016769509811099400	Graubünden	163/1073	True
hatten → habe	0.016704981119146300	Basel	6/7	True
welt → wald	0.016704981119146300	Basel	6/11	True
sprache → spruch	0.016704981119146300	Basel	6/7	True
